，	54554	8.342202%
的	32832	5.020552%
我	17170	2.625575%
了	16943	2.590863%
。	13665	2.089603%
“	9806	1.499498%
”	9641	1.474267%
是	9562	1.462187%
在	6061	0.9268264%
不	5381	0.8228433%
一	5067	0.7748275%
就	4636	0.7089205%
他	4596	0.7028039%
她	4478	0.6847597%
也	4377	0.6693152%
！	4367	0.667786%
？	4348	0.6648806%
这	3542	0.54163%
你	3325	0.5084471%
有	3181	0.4864271%
那	3060	0.4679242%
和	3025	0.4625722%
都	2955	0.451868%
人	2728	0.417156%
可	2525	0.386114%
：	2477	0.378774%
上	2322	0.3550719%
说	2298	0.3514019%
把	2277	0.3481907%
个	2266	0.3465086%
来	2244	0.3431444%
而	2150	0.3287703%
却	2103	0.3215832%
让	2057	0.3145491%
着	2029	0.3102674%
道	1987	0.3038449%
、	1851	0.2830483%
里	1695	0.2591933%
还	1650	0.2523121%
大	1609	0.2460425%
没有	1596	0.2440546%
出	1596	0.2440546%
到	1592	0.2434429%
要	1584	0.2422196%
去	1557	0.2380909%
两	1549	0.2368675%
又	1525	0.2331975%
知道	1509	0.2307509%
地	1509	0.2307509%
已经	1503	0.2298334%
便	1497	0.2289159%
一个	1487	0.2273867%
看	1479	0.2261634%
得	1449	0.2215759%
想	1351	0.2065901%
能	1317	0.2013909%
吧	1293	0.1977209%
没	1284	0.1963447%
对	1283	0.1961918%
过	1270	0.1942039%
自己	1251	0.1912984%
会	1244	0.190228%
江湖	1225	0.1873226%
呢	1220	0.186558%
被	1204	0.1841114%
只是	1179	0.1802885%
只	1175	0.1796768%
好	1156	0.1767714%
多	1145	0.1750893%
并	1142	0.1746306%
之	1129	0.1726426%
不过	1116	0.1706547%
中	1089	0.166526%
虽然	1072	0.1639264%
给	1064	0.1627031%
与	1011	0.1545985%
吗	991	0.1515402%
从	981	0.150011%
听	980	0.1498581%
呀	959	0.1466468%
才	956	0.1461881%
起来	947	0.1448119%
解雨	946	0.1446589%
无瑕	940	0.1437414%
什么	938	0.1434356%
∶	884	0.1351781%
……	884	0.1351781%
下	883	0.1350252%
真	878	0.1342606%
萧潇	848	0.1296731%
起	822	0.1256973%
时候	810	0.1238623%
有些	808	0.1235565%
几	807	0.1234035%
心中	807	0.1234035%
慕容	789	0.1206511%
大江盟	785	0.1200394%
似乎	775	0.1185102%
连	751	0.1148402%
很	740	0.1131582%
玲珑	740	0.1131582%
该	733	0.1120877%
脸上	716	0.1094882%
话	701	0.1071944%
笑道	699	0.1068886%
还是	691	0.1056652%
魏柔	689	0.1053594%
不是	675	0.1032186%
更	672	0.1027598%
小	656	0.1003132%
做	648	0.09908984%
著	647	0.09893692%
等	646	0.09878401%
因为	644	0.09847818%
三	637	0.09740776%
竟	635	0.09710193%
六娘	631	0.09649026%
这个	625	0.09557276%
再	616	0.09419651%
出来	615	0.0940436%
他们	613	0.09373777%
正	603	0.0922086%
像	597	0.09129111%
怎么	577	0.08823278%
秦楼	577	0.08823278%
目光	572	0.08746819%
见	563	0.08609194%
它	557	0.08517445%
用	555	0.08486862%
进	539	0.08242195%
最	523	0.07997529%
为	516	0.07890487%
这么	514	0.07859904%
太	511	0.07814029%
鲁卫	510	0.07798737%
一声	506	0.07737571%
