，	81974	8.571333%
的	45484	4.75588%
我	24574	2.569497%
了	24566	2.56866%
。	19919	2.082763%
“	14489	1.514993%
”	14105	1.474841%
是	13750	1.437722%
在	8603	0.8995435%
不	8040	0.8406753%
一	7431	0.7769973%
他	6859	0.7171881%
就	6805	0.7115417%
！	6696	0.7001445%
她	6497	0.6793367%
也	6270	0.6556013%
？	6235	0.6519416%
你	5388	0.5633779%
这	5169	0.5404789%
有	4584	0.4793104%
和	4394	0.4594437%
都	4351	0.4549475%
那	4271	0.4465826%
：	4202	0.4393679%
可	4021	0.4204422%
人	3805	0.3978569%
说	3548	0.3709846%
上	3488	0.3647109%
却	3408	0.356346%
着	3295	0.3445305%
个	3289	0.3439031%
来	3257	0.3405572%
而	3104	0.3245592%
把	3103	0.3244547%
道	2927	0.3060518%
让	2793	0.2920406%
、	2656	0.2777156%
地	2559	0.2675731%
里	2415	0.2525163%
两	2404	0.2513661%
大	2390	0.2499022%
要	2386	0.249484%
还	2378	0.2486475%
去	2377	0.2485429%
到	2329	0.243524%
出	2318	0.2423738%
又	2309	0.2414327%
得	2278	0.2381913%
知道	2141	0.2238664%
没有	2102	0.2197885%
没	2102	0.2197885%
一个	2056	0.2149787%
看	2016	0.2107962%
想	1974	0.2064046%
已经	1965	0.2054636%
能	1947	0.2035814%
对	1907	0.199399%
过	1883	0.1968895%
便	1859	0.19438%
自己	1783	0.1864333%
会	1770	0.185074%
被	1762	0.1842376%
之	1754	0.183401%
江湖	1729	0.180787%
吧	1720	0.179846%
才	1696	0.1773365%
好	1667	0.1743042%
只是	1645	0.1720038%
只	1632	0.1706445%
多	1598	0.1670894%
中	1552	0.1622796%
虽然	1547	0.1617568%
不过	1544	0.1614431%
给	1530	0.1599793%
起来	1529	0.1598747%
……	1508	0.1576789%
呢	1472	0.1539147%
与	1472	0.1539147%
什么	1469	0.153601%
并	1433	0.1498368%
听	1420	0.1484775%
下	1346	0.1407399%
从	1345	0.1406354%
起	1267	0.1324795%
吗	1261	0.1318522%
魏柔	1261	0.1318522%
几	1224	0.1279834%
解雨	1207	0.1262059%
真	1168	0.122128%
呀	1107	0.1157497%
心中	1094	0.1143904%
无瑕	1092	0.1141813%
大江盟	1085	0.1134493%
时候	1047	0.109476%
萧潇	1045	0.1092669%
连	1045	0.1092669%
不是	1039	0.1086395%
很	1036	0.1083258%
小	1015	0.10613%
似乎	1015	0.10613%
更	1006	0.105189%
话	990	0.103516%
∶	976	0.1020521%
三	976	0.1020521%
该	968	0.1012156%
等	967	0.1011111%
见	961	0.1004837%
还是	954	0.09975177%
有些	952	0.09954265%
笑道	948	0.0991244%
再	936	0.09786966%
怎么	931	0.09734686%
慕容	920	0.09619667%
做	905	0.09462825%
因为	902	0.09431457%
脸上	892	0.09326895%
像	880	0.09201421%
他们	862	0.0901321%
这个	860	0.08992298%
进	853	0.08919105%
正	845	0.08835456%
竟	845	0.08835456%
出来	844	0.08825%
目光	801	0.08375385%
这么	796	0.08323104%
玲珑	790	0.08260367%
已	775	0.08103524%
它	768	0.08030331%
用	764	0.07988507%
六娘	763	0.0797805%
最	761	0.07957138%
为	761	0.07957138%
家	756	0.07904857%
太	744	0.07779384%
一声	743	0.07768928%
啊	738	0.07716646%
顿时	735	0.07685278%
比	717	0.07497067%
著	698	0.072984%
向	697	0.07287944%
走	691	0.07225207%
将	679	0.07099733%
住	665	0.06953347%
成	660	0.06901066%
秦楼	656	0.06859241%
年	652	0.06817417%
后	641	0.06702399%
死	640	0.06691942%
鲁卫	629	0.06576925%
自然	628	0.06566469%
突然	627	0.06556012%
宁馨	625	0.065351%
打	622	0.06503732%
谁	613	0.06409626%
之后	613	0.06409626%
那些	609	0.06367802%
身上	607	0.0634689%
宝亭	605	0.06325977%
下来	602	0.06294609%
弟子	599	0.0626324%
；	597	0.06242328%
唐门	596	0.06231872%
一眼	593	0.06200503%
那个	589	0.06158679%
问	589	0.06158679%
可能	584	0.06106398%
相公	584	0.06106398%
苏州	579	0.06054117%
真是	578	0.06043661%
少	575	0.06012292%
这样	573	0.0599138%
大人	566	0.05918187%
武功	558	0.05834537%
二	555	0.05803169%
四	555	0.05803169%
宝大祥	554	0.05792713%
事情	553	0.05782257%
别	552	0.05771801%
可以	551	0.05761344%
明白	550	0.05750888%
倒是	549	0.05740432%
如	542	0.05667239%
一下	541	0.05656783%
前	538	0.05625414%
隐湖	538	0.05625414%
心	537	0.05614958%
倒	535	0.05594046%
天	535	0.05594046%
现在	533	0.05573133%
叫	531	0.05552221%
手	530	0.05541765%
女	529	0.05531309%
脸	528	0.05520853%
回	526	0.0549994%
十	524	0.05479028%
或许	521	0.0544766%
一丝	517	0.05405835%
如此	511	0.05343098%
那么	511	0.05343098%
怕	509	0.05322186%
点	507	0.05301273%
过来	507	0.05301273%
我们	506	0.05290817%
女人	505	0.05280361%
若是	498	0.05207168%
身子	494	0.05165343%
十二	494	0.05165343%
姐姐	493	0.05154887%
显然	491	0.05133975%
就是	478	0.04998045%
心里	478	0.04998045%
带	475	0.04966676%
恐怕	469	0.04903939%
这些	469	0.04903939%
看到	467	0.04883027%
一般	466	0.04872571%
门派	466	0.04872571%
蒋迟	466	0.04872571%
眼下	465	0.04862115%
师父	464	0.04851658%
快	463	0.04841202%
声音	461	0.0482029%
甚至	460	0.04809834%
笑	459	0.04799378%
所	454	0.04747097%
她们	451	0.04715728%
宗设	448	0.0468436%
找	447	0.04673904%
就算	443	0.04632079%
连环	443	0.04632079%
几乎	441	0.04611167%
当	439	0.04590254%
早	439	0.04590254%
则	433	0.04527517%
苏瑾	433	0.04527517%
落	430	0.04496149%
其实	429	0.04485693%
以	429	0.04485693%
些	428	0.04475237%
唐三藏	425	0.04443868%
时间	421	0.04402044%
一样	418	0.04370675%
魔门	418	0.04370675%
为了	416	0.04349763%
哪	416	0.04349763%
觉得	412	0.04307938%
口	411	0.04297482%
公子	410	0.04287026%
皇上	409	0.0427657%
妳	409	0.0427657%
世家	407	0.04255657%
玉珑	406	0.04245201%
还有	406	0.04245201%
变	405	0.04234745%
武林	403	0.04213833%
人家	403	0.04213833%
吃	402	0.04203377%
大家	402	0.04203377%
替	399	0.04172008%
关系	399	0.04172008%
可是	398	0.04161552%
竟是	391	0.04088359%
当然	386	0.04036078%
究竟	386	0.04036078%
开	385	0.04025622%
是不是	385	0.04025622%
众人	384	0.04015166%
想来	383	0.04004709%
间	382	0.03994253%
身份	381	0.03983797%
发现	381	0.03983797%
毕竟	380	0.03973341%
姐妹	377	0.03941973%
告诉	377	0.03941973%
想到	377	0.03941973%
您	375	0.0392106%
如何	375	0.0392106%
总	373	0.03900148%
眼中	372	0.03889692%
汉子	371	0.03879236%
李思	366	0.03826955%
姑娘	364	0.03806042%
五	364	0.03806042%
杭州	363	0.03795586%
们	363	0.03795586%
消息	362	0.0378513%
武舞	361	0.03774674%
同盟会	359	0.03753762%
银子	356	0.03722393%
难道	355	0.03711937%
高	354	0.03701481%
得到	354	0.03701481%
原来	353	0.03691025%
齐小天	353	0.03691025%
一阵	349	0.036492%
听到	348	0.03638744%
淫贼	347	0.03628288%
白澜	346	0.03617832%
怀里	345	0.03607375%
果然	343	0.03586463%
七	342	0.03576007%
但	341	0.03565551%
许多	341	0.03565551%
立刻	341	0.03565551%
春水剑派	339	0.03544638%
不知	339	0.03544638%
什麽	338	0.03534182%
模样	338	0.03534182%
微微	338	0.03534182%
身	337	0.03523726%
正是	337	0.03523726%
竟然	337	0.03523726%
想起	336	0.0351327%
玉玲	333	0.03481901%
开始	333	0.03481901%
高手	332	0.03471445%
无	331	0.03460989%
你们	329	0.03440077%
江南	329	0.03440077%
帮	328	0.03429621%
刚	327	0.03419165%
一笑	327	0.03419165%
次	326	0.03408708%
看来	325	0.03398252%
一下子	324	0.03387796%
夫人	322	0.03366884%
声	322	0.03366884%
纔	322	0.03366884%
一番	320	0.03345971%
老	320	0.03345971%
只有	319	0.03335515%
颇	318	0.03325059%
拉	317	0.03314603%
丫头	317	0.03314603%
若	316	0.03304147%
位	315	0.0329369%
奶	314	0.03283234%
杀	313	0.03272778%
张	313	0.03272778%
的话	312	0.03262322%
定	311	0.03251866%
坞	310	0.0324141%
孙妙	310	0.0324141%
京城	309	0.03230954%
嘛	308	0.03220497%
无暇	308	0.03220497%
见到	307	0.03210041%
算	305	0.03189129%
送	305	0.03189129%
跟	305	0.03189129%
一边	305	0.03189129%
拿	304	0.03178673%
说话	304	0.03178673%
离开	304	0.03178673%
刀	303	0.03168217%
于	302	0.03157761%
事	301	0.03147304%
武当	295	0.03084567%
听说	291	0.03042743%
坐	290	0.03032286%
实在	289	0.0302183%
无法	289	0.0302183%
如果	289	0.0302183%
望	289	0.0302183%
清楚	288	0.03011374%
句	288	0.03011374%
人物	287	0.03000918%
转	284	0.0296955%
少女	283	0.02959093%
先	283	0.02959093%
满	283	0.02959093%
传来	282	0.02948637%
望着	282	0.02948637%
万	281	0.02938181%
而且	281	0.02938181%
问道	281	0.02938181%
相当	279	0.02917269%
之间	278	0.02906813%
扬州	277	0.02896356%
股	277	0.02896356%
麽	276	0.028859%
宫难	274	0.02864988%
眼睛	274	0.02864988%
倭寇	274	0.02864988%
多少	271	0.0283362%
实力	271	0.0283362%
很快	271	0.0283362%
屋子	270	0.02823163%
闪	268	0.02802251%
件	267	0.02791795%
霁月斋	267	0.02791795%
既然	266	0.02781339%
章	265	0.02770882%
一切	264	0.02760426%
一句	264	0.02760426%
两人	264	0.02760426%
一起	263	0.0274997%
敢	263	0.0274997%
玉	262	0.02739514%
大哥	262	0.02739514%
气	261	0.02729058%
身后	261	0.02729058%
行	261	0.02729058%
月	260	0.02718602%
。”	260	0.02718602%
头	260	0.02718602%
女儿	260	0.02718602%
远	259	0.02708146%
生	257	0.02687233%
副	255	0.02666321%
王动	254	0.02655865%
本	254	0.02655865%
忙	253	0.02645409%
那里	252	0.02634952%
原本	252	0.02634952%
眼前	251	0.02624496%
心头	251	0.02624496%
其中	249	0.02603584%
请	249	0.02603584%
茶话会	249	0.02603584%
沈希仪	249	0.02603584%
似	248	0.02593128%
回来	247	0.02582672%
似的	246	0.02572216%
露出	246	0.02572216%
而已	246	0.02572216%
地方	246	0.02572216%
动少	245	0.02561759%
这里	244	0.02551303%
女子	244	0.02551303%
长	243	0.02540847%
齐放	243	0.02540847%
发生	242	0.02530391%
爷	241	0.02519935%
这种	240	0.02509478%
站	240	0.02509478%
弄	240	0.02509478%
师兄	238	0.02488566%
身边	237	0.0247811%
再说	236	0.02467654%
先生	236	0.02467654%
机会	235	0.02457198%
此	234	0.02446742%
虽	234	0.02446742%
此刻	234	0.02446742%
妹妹	233	0.02436285%
冲	232	0.02425829%
白	232	0.02425829%
第一	231	0.02415373%
俩	231	0.02415373%
喜欢	231	0.02415373%
这儿	230	0.02404917%
依旧	230	0.02404917%
李岐山	230	0.02404917%
变成	229	0.02394461%
别人	229	0.02394461%
条	228	0.02384005%
未	228	0.02384005%
惊讶	227	0.02373548%
双	227	0.02373548%
出现	227	0.02373548%
往	226	0.02363092%
跑	225	0.02352636%
名字	225	0.02352636%
半	225	0.02352636%
老师	225	0.02352636%
剑	223	0.02331724%
岁	223	0.02331724%
不由	223	0.02331724%
放	223	0.02331724%
换	222	0.02321268%
极	222	0.02321268%
师傅	222	0.02321268%
买	221	0.02310812%
东西	221	0.02310812%
需要	221	0.02310812%
名	220	0.02300355%
使	220	0.02300355%
外	220	0.02300355%
男人	220	0.02300355%
表情	220	0.02300355%
