，	46613	8.188853%
的	29169	5.124336%
我	15342	2.695244%
了	14759	2.592824%
。	12130	2.130968%
“	8585	1.508191%
”	8459	1.486056%
是	8394	1.474637%
在	5276	0.9268743%
不	4668	0.8200623%
一	4373	0.7682375%
就	4072	0.7153586%
她	4001	0.7028855%
他	3908	0.6865475%
也	3872	0.6802231%
？	3825	0.6719663%
！	3771	0.6624797%
这	3152	0.5537353%
你	2879	0.5057754%
有	2768	0.4862752%
那	2761	0.4850455%
和	2669	0.4688831%
都	2617	0.4597479%
人	2383	0.4186394%
可	2118	0.3720849%
说	2039	0.3582063%
：	2027	0.3560982%
把	2018	0.3545171%
上	2005	0.3522333%
个	1985	0.3487197%
来	1876	0.3295709%
而	1842	0.3235979%
却	1826	0.320787%
让	1823	0.32026%
道	1704	0.2993544%
着	1695	0.2977733%
、	1686	0.2961922%
里	1499	0.2633405%
还	1434	0.2519215%
没有	1389	0.244016%
出	1380	0.2424349%
要	1360	0.2389213%
便	1358	0.23857%
大	1357	0.2383943%
看	1356	0.2382186%
到	1341	0.2355835%
去	1340	0.2354078%
两	1328	0.2332997%
一个	1312	0.2304888%
已经	1310	0.2301375%
又	1308	0.2297861%
知道	1295	0.2275023%
地	1249	0.2194211%
得	1242	0.2181914%
想	1168	0.2051913%
吧	1160	0.2037859%
能	1154	0.2027318%
对	1133	0.1990426%
江湖	1131	0.1986912%
过	1127	0.1979885%
会	1102	0.1935966%
没	1100	0.1932452%
呢	1050	0.1844613%
自己	1041	0.1828802%
不过	1022	0.1795424%
并	1019	0.1790153%
只是	1018	0.1788397%
多	1014	0.1781369%
之	1009	0.1772586%
被	1008	0.1770829%
好	1008	0.1770829%
只	1006	0.1767315%
给	957	0.1681233%
中	948	0.1665422%
虽然	927	0.162853%
呀	925	0.1625016%
吗	910	0.1598665%
∶	884	0.1552989%
与	870	0.1528394%
无瑕	862	0.151434%
萧潇	842	0.1479204%
从	831	0.145988%
听	825	0.1449339%
起来	793	0.1393122%
真	774	0.1359743%
有些	766	0.1345689%
大江盟	765	0.1343933%
什么	758	0.1331635%
才	743	0.1305283%
下	741	0.130177%
慕容	741	0.130177%
解雨	736	0.1292986%
时候	724	0.1271905%
玲珑	721	0.1266634%
起	711	0.1249067%
……	708	0.1243796%
似乎	704	0.1236769%
心中	701	0.1231499%
很	688	0.1208661%
几	688	0.1208661%
连	681	0.1196363%
脸上	664	0.1166498%
笑道	657	0.1154201%
该	644	0.1131363%
话	631	0.1108525%
还是	626	0.1099741%
著	603	0.1059335%
小	592	0.1040011%
六娘	578	0.1015416%
不是	576	0.1011902%
做	571	0.1003118%
三	562	0.09873073%
更	562	0.09873073%
因为	560	0.09837937%
等	559	0.0982037%
这个	556	0.09767666%
像	547	0.09609557%
魏柔	542	0.09521718%
出来	534	0.09381177%
正	531	0.09328473%
秦楼	527	0.09258202%
竟	518	0.09100092%
再	516	0.09064957%
他们	509	0.08941983%
目光	501	0.08801441%
它	498	0.08748737%
怎么	487	0.08555492%
用	477	0.08379815%
进	473	0.08309544%
宝大祥	470	0.08256841%
那些	460	0.08081163%
之后	452	0.07940621%
苏州	451	0.07923053%
最	450	0.07905485%
见	449	0.07887918%
太	444	0.07800079%
为	439	0.07712241%
鲁卫	439	0.07712241%
师父	436	0.07659537%
十二	436	0.07659537%
宝亭	436	0.07659537%
一声	434	0.07624402%
比	430	0.0755413%
家	419	0.07360885%
这么	418	0.07343318%
年	409	0.07185208%
弟子	404	0.07097369%
玉珑	401	0.07044666%
武功	401	0.07044666%
那个	397	0.06974395%
这样	396	0.06956827%
连环	396	0.06956827%
住	393	0.06904124%
向	392	0.06886556%
顿时	392	0.06886556%
真是	388	0.06816285%
突然	387	0.06798717%
走	385	0.06763582%
身上	381	0.06693311%
少	378	0.06640608%
成	375	0.06587905%
；	374	0.06570337%
将	374	0.06570337%
死	367	0.06447363%
后	366	0.06429795%
一眼	365	0.06412227%
问	364	0.0639466%
或许	360	0.06324388%
二	357	0.06271685%
恐怕	357	0.06271685%
谁	353	0.06201414%
我们	353	0.06201414%
苏瑾	350	0.06148711%
脸	349	0.06131143%
打	349	0.06131143%
一下	349	0.06131143%
门派	346	0.0607844%
手	345	0.06060872%
若是	343	0.06025737%
十	343	0.06025737%
这些	340	0.05973034%
些	339	0.05955466%
下来	337	0.0592033%
魔门	337	0.0592033%
唐门	336	0.05902763%
显然	336	0.05902763%
前	335	0.05885195%
现在	334	0.05867627%
事情	334	0.05867627%
倒是	332	0.05832491%
玉玲	332	0.05832491%
心	329	0.05779788%
看到	329	0.05779788%
春水剑派	327	0.05744653%
四	324	0.0569195%
大人	323	0.05674382%
世家	320	0.05621679%
一丝	320	0.05621679%
武林	319	0.05604111%
啊	319	0.05604111%
什麽	319	0.05604111%
叫	316	0.05551407%
可以	316	0.05551407%
可能	316	0.05551407%
倒	314	0.05516272%
纔	314	0.05516272%
武舞	313	0.05498704%
明白	307	0.05393298%
如	306	0.0537573%
身子	304	0.05340595%
她们	303	0.05323027%
过来	303	0.05323027%
已	302	0.05305459%
如此	300	0.05270324%
无暇	300	0.05270324%
奶	299	0.05252756%
天	298	0.05235188%
女人	297	0.0521762%
就是	296	0.05200053%
声音	296	0.05200053%
回	294	0.05164917%
一般	293	0.05147349%
姐妹	292	0.05129782%
淫贼	291	0.05112214%
是不是	288	0.05059511%
隐湖	284	0.0498924%
别	283	0.04971672%
公子	282	0.04954104%
带	282	0.04954104%
汉子	281	0.04936536%
坞	280	0.04918969%
姐姐	279	0.04901401%
杭州	277	0.04866266%
女	276	0.04848698%
间	275	0.0483113%
夫人	275	0.0483113%
一样	271	0.04760859%
笑	270	0.04743291%
甚至	269	0.04725724%
快	268	0.04708156%
当	265	0.04655452%
点	264	0.04637885%
找	264	0.04637885%
口	264	0.04637885%
大家	263	0.04620317%
齐小天	263	0.04620317%
唐三藏	262	0.04602749%
麽	261	0.04585182%
其实	258	0.04532478%
眼中	258	0.04532478%
难道	258	0.04532478%
同盟会	257	0.04514911%
早	255	0.04479775%
看来	254	0.04462207%
竟是	254	0.04462207%
究竟	250	0.04391937%
心里	249	0.04374368%
可是	248	0.04356801%
高	245	0.04304098%
七	243	0.04268962%
想到	241	0.04233827%
落	241	0.04233827%
您	240	0.04216259%
玉	240	0.04216259%
那么	240	0.04216259%
就算	239	0.04198691%
觉得	239	0.04198691%
姑娘	238	0.04181124%
怕	238	0.04181124%
变	238	0.04181124%
时间	238	0.04181124%
以	237	0.04163556%
所	237	0.04163556%
发现	237	0.04163556%
则	235	0.0412842%
模样	234	0.04110853%
自然	232	0.04075717%
为了	232	0.04075717%
扬州	231	0.04058149%
开始	230	0.04040581%
关系	229	0.04023014%
眼下	228	0.04005446%
总	226	0.0397031%
一阵	226	0.0397031%
毕竟	226	0.0397031%
银子	226	0.0397031%
开	225	0.03952743%
帮	224	0.03935175%
众人	223	0.03917607%
孙妙	223	0.03917607%
正是	221	0.03882472%
还有	221	0.03882472%
次	220	0.03864904%
当然	216	0.03794633%
吃	215	0.03777065%
替	215	0.03777065%
果然	215	0.03777065%
原来	215	0.03777065%
想来	214	0.03759497%
定	214	0.03759497%
只有	213	0.0374193%
实在	212	0.03724362%
怀里	212	0.03724362%
消息	212	0.03724362%
高手	211	0.03706794%
告诉	210	0.03689227%
颇	209	0.03671659%
位	209	0.03671659%
想起	209	0.03671659%
妳	208	0.03654091%
许多	207	0.03636523%
若	207	0.03636523%
爷	207	0.03636523%
万	205	0.03601388%
几乎	205	0.03601388%
的话	204	0.0358382%
身	203	0.03566252%
五	203	0.03566252%
听到	202	0.03548685%
李岐山	201	0.03531117%
们	200	0.03513549%
霁月斋	200	0.03513549%
如果	199	0.03495982%
张	198	0.03478413%
那里	198	0.03478413%
说话	197	0.03460846%
身份	197	0.03460846%
微微	197	0.03460846%
怎麽	195	0.0342571%
满	195	0.0342571%
拉	193	0.03390575%
主子	190	0.03337872%
老	190	0.03337872%
得到	190	0.03337872%
听说	189	0.03320304%
跟	189	0.03320304%
一笑	189	0.03320304%
不知	189	0.03320304%
清楚	188	0.03302736%
露出	188	0.03302736%
句	188	0.03302736%
声	188	0.03302736%
宫难	187	0.03285168%
实力	187	0.03285168%
剑	186	0.03267601%
人物	186	0.03267601%
一下子	186	0.03267601%
送	185	0.03250033%
刚	185	0.03250033%
事	184	0.03232465%
竟然	183	0.03214898%
立刻	183	0.03214898%
拿	182	0.0319733%
杀	181	0.03179762%
股	181	0.03179762%
望	180	0.03162194%
嘛	179	0.03144626%
于	179	0.03144626%
老师	179	0.03144626%
王动	178	0.03127059%
刀	178	0.03127059%
江南	177	0.03109491%
坐	177	0.03109491%
[	177	0.03109491%
离开	176	0.03091923%
这种	175	0.03074355%
原本	175	0.03074355%
件	175	0.03074355%
见到	174	0.03056788%
屋子	174	0.03056788%
珠宝	174	0.03056788%
忙	172	0.03021652%
眼睛	172	0.03021652%
副	172	0.03021652%
闪	172	0.03021652%
身后	171	0.03004085%
往	171	0.03004085%
如何	170	0.02986517%
齐放	170	0.02986517%
之间	170	0.02986517%
女儿	170	0.02986517%
大哥	169	0.02968949%
一番	168	0.02951381%
一句	168	0.02951381%
而且	167	0.02933813%
问道	167	0.02933813%
李思	167	0.02933813%
行	166	0.02916246%
你们	165	0.02898678%
一起	165	0.02898678%
转	165	0.02898678%
算	164	0.0288111%
名字	164	0.0288111%
师兄	164	0.0288111%
变成	163	0.02863543%
站	163	0.02863543%
表情	163	0.02863543%
齐萝	163	0.02863543%
。”	162	0.02845975%
娘	162	0.02845975%
先	162	0.02845975%
般	161	0.02828407%
传来	161	0.02828407%
章	160	0.02810839%
既然	160	0.02810839%
且	160	0.02810839%
气	159	0.02793271%
请	158	0.02775704%
人家	158	0.02775704%
此刻	158	0.02775704%
无法	155	0.02723001%
第一	154	0.02705433%
女子	154	0.02705433%
远	152	0.02670297%
多少	151	0.0265273%
很快	151	0.0265273%
身边	150	0.02635162%
而已	150	0.02635162%
发生	150	0.02635162%
头	150	0.02635162%
应该	149	0.02617594%
这里	149	0.02617594%
无	147	0.02582459%
]	147	0.02582459%
其中	146	0.02564891%
惊讶	146	0.02564891%
换	146	0.02564891%
丫头	146	0.02564891%
望着	146	0.02564891%
回来	145	0.02547323%
许诩	145	0.02547323%
别人	144	0.02529755%
跑	143	0.02512188%
┅┅	143	0.02512188%
笑容	143	0.02512188%
依旧	143	0.02512188%
奇怪	142	0.0249462%
妹妹	142	0.0249462%
本	142	0.0249462%
使	142	0.0249462%
一切	142	0.0249462%
出现	142	0.0249462%
动少	142	0.0249462%
眼前	141	0.02477052%
流	141	0.02477052%
机会	140	0.02459484%
应天	140	0.02459484%
女孩	140	0.02459484%
渐渐	140	0.02459484%
双	139	0.02441917%
相公	139	0.02441917%
客人	138	0.02424349%
俩	138	0.02424349%
地方	138	0.02424349%
太湖	138	0.02424349%
老弟	138	0.02424349%
旁边	137	0.02406781%
月	137	0.02406781%
条	137	0.02406781%
买	137	0.02406781%
武当	137	0.02406781%
半	136	0.02389213%
不成	136	0.02389213%
长	135	0.02371646%
招	135	0.02371646%
喜欢	135	0.02371646%
外	135	0.02371646%
但	134	0.02354078%
岁	134	0.02354078%
过去	134	0.02354078%
生	134	0.02354078%
轻轻	134	0.02354078%
强	134	0.02354078%
宗设	134	0.02354078%
功夫	133	0.0233651%
东西	133	0.0233651%
哪	133	0.0233651%
准备	133	0.0233651%
先生	133	0.0233651%
名	132	0.02318942%
处	132	0.02318942%
喊	131	0.02301375%
白澜	131	0.02301375%
似	130	0.02283807%
两人	130	0.02283807%
李	129	0.02266239%
需要	129	0.02266239%
敢	129	0.02266239%
那样	129	0.02266239%
南元子	129	0.02266239%
似的	128	0.02248671%
『	127	0.02231104%
还要	127	0.02231104%
望著	127	0.02231104%
此	127	0.02231104%
高光祖	127	0.02231104%
花	125	0.02195968%
司马	125	0.02195968%
再说	124	0.021784%
一直	124	0.021784%
一边	124	0.021784%
男人	124	0.021784%
仲达	124	0.021784%
沈希仪	124	0.021784%
┅	123	0.02160833%
新	123	0.02160833%
桂萼	123	0.02160833%
嘴	122	0.02143265%
完全	122	0.02143265%
放	122	0.02143265%
小声	121	0.02125697%
各	121	0.02125697%
看起来	121	0.02125697%
留下	121	0.02125697%
像是	121	0.02125697%
王	120	0.02108129%
有人	120	0.02108129%
出去	120	0.02108129%
嫁	120	0.02108129%
齐	119	0.02090562%
公孙	119	0.02090562%
不由得	119	0.02090562%
未	119	0.02090562%
哥哥	119	0.02090562%
弄	118	0.02072994%
这儿	118	0.02072994%
虽	118	0.02072994%
门	117	0.02055426%
心头	117	0.02055426%
冲	116	0.02037858%
忍不住	116	0.02037858%
十分	115	0.02020291%
在下	115	0.02020291%
最后	115	0.02020291%
眼里	115	0.02020291%
边	115	0.02020291%
转头	115	0.02020291%
手中	115	0.02020291%
老人家	114	0.02002723%
派	114	0.02002723%
全	114	0.02002723%
水	114	0.02002723%
里面	114	0.02002723%
不仅	114	0.02002723%
别情	114	0.02002723%
官府	113	0.01985155%
茶话会	113	0.01985155%
容易	113	0.01985155%
宋素卿	113	0.01985155%
盟主	112	0.01967588%
进来	112	0.01967588%
为什么	112	0.01967588%
十几	111	0.0195002%
错	111	0.0195002%
参加	111	0.0195002%
每	111	0.0195002%
钱	111	0.0195002%
小子	111	0.0195002%
真的	111	0.0195002%
越	111	0.0195002%
除了	111	0.0195002%
干	110	0.01932452%
飞	110	0.01932452%
另	109	0.01914884%
客栈	109	0.01914884%
种	109	0.01914884%
仙子	109	0.01914884%
朋友	109	0.01914884%
动儿	109	0.01914884%
文公达	109	0.01914884%
重要	108	0.01897317%
一动	108	0.01897317%
发出	108	0.01897317%
镇江	108	0.01897317%
老爷子	108	0.01897317%
然后	107	0.01879749%
传	107	0.01879749%
难	107	0.01879749%
字	107	0.01879749%
来说	107	0.01879749%
自	107	0.01879749%
对手	106	0.01862181%
回到	106	0.01862181%
六	106	0.01862181%
极	106	0.01862181%
船	106	0.01862181%
于是	106	0.01862181%
分	105	0.01844613%
啦	105	0.01844613%
娶	105	0.01844613%
长空	105	0.01844613%
二十	104	0.01827046%
重	104	0.01827046%
可惜	104	0.01827046%
殷	104	0.01827046%
连环坞	104	0.01827046%
紫烟	104	0.01827046%
近	103	0.01809478%
日子	103	0.01809478%
脸色	103	0.01809478%
蓦地	103	0.01809478%
龙潭镇	103	0.01809478%
春水	102	0.0179191%
靠	102	0.0179191%
差	102	0.0179191%
此时	102	0.0179191%
一片	102	0.0179191%
样子	101	0.01774342%
美女	101	0.01774342%
留	101	0.01774342%
爱	101	0.01774342%
师娘	101	0.01774342%
变化	100	0.01756775%
练青霓	100	0.01756775%
看看	99	0.01739207%
作	99	0.01739207%
今天	99	0.01739207%
看出	98	0.01721639%
李之扬	98	0.01721639%
加上	98	0.01721639%
白	98	0.01721639%
面前	98	0.01721639%
动	98	0.01721639%
竹园	98	0.01721639%
隋礼	98	0.01721639%
所以	97	0.01704071%
意思	97	0.01704071%
红	97	0.01704071%
接	97	0.01704071%
离	96	0.01686504%
只好	96	0.01686504%
眼	96	0.01686504%
相当	96	0.01686504%
地道	96	0.01686504%
剑法	95	0.01668936%
特别	95	0.01668936%
百晓生	95	0.01668936%
入	95	0.01668936%
～	95	0.01668936%
少林	94	0.01651368%
名人录	94	0.01651368%
三人	94	0.01651368%
马车	94	0.01651368%
吩咐	94	0.01651368%
情况	94	0.01651368%
俱	94	0.01651368%
慕容千秋	94	0.01651368%
高七	94	0.01651368%
沈熠	94	0.01651368%
手里	93	0.016338%
不住	93	0.016338%
怎	93	0.016338%
生意	93	0.016338%
绝对	93	0.016338%
停	93	0.016338%
熟悉	93	0.016338%
隐约	93	0.016338%
收	92	0.01616233%
希望	92	0.01616233%
来历	92	0.01616233%
面	92	0.01616233%
时	92	0.01616233%
彷佛	92	0.01616233%
穿	91	0.01598665%
心思	91	0.01598665%
又是	91	0.01598665%
那边	91	0.01598665%
晚	91	0.01598665%
卖	91	0.01598665%
不禁	91	0.01598665%
紧	91	0.01598665%
武承恩	91	0.01598665%
朝	90	0.01581097%
教	90	0.01581097%
感觉	90	0.01581097%
轻	90	0.01581097%
不敢	90	0.01581097%
不再	90	0.01581097%
接着	90	0.01581097%
陆眉公	90	0.01581097%
