，	3772	8.575456%
的	1861	4.230892%
了	1136	2.58264%
我	1053	2.393944%
。	907	2.06202%
“	809	1.839222%
”	747	1.698268%
是	639	1.452735%
你	426	0.9684899%
不	388	0.8820989%
！	376	0.8548175%
在	360	0.8184422%
就	348	0.7911608%
她	318	0.7229573%
：	311	0.7070432%
也	305	0.6934025%
他	300	0.6820352%
？	299	0.6797618%
一	273	0.620652%
这	270	0.6138317%
可	231	0.5251671%
都	229	0.5206202%
有	214	0.4865184%
和	209	0.4751512%
说	195	0.4433229%
着	192	0.4365025%
个	186	0.4228618%
那	167	0.3796663%
、	166	0.3773928%
上	163	0.3705724%
蒋迟	154	0.3501114%
来	144	0.3273769%
而	140	0.3182831%
道	140	0.3182831%
还	138	0.3137362%
两	137	0.3114627%
人	136	0.3091893%
地	135	0.3069158%
把	134	0.3046424%
却	127	0.2887282%
能	127	0.2887282%
要	120	0.2728141%
没	119	0.2705406%
去	115	0.2614468%
里	112	0.2546265%
又	111	0.252353%
到	111	0.252353%
得	111	0.252353%
让	106	0.2409858%
江湖	106	0.2409858%
对	99	0.2250716%
才	98	0.2227982%
……	95	0.2159778%
宁馨	92	0.2091575%
知道	91	0.206884%
大	91	0.206884%
吧	89	0.2023371%
没有	88	0.2000637%
一个	86	0.1955168%
啊	85	0.1932433%
想	84	0.1909699%
出	82	0.186423%
之	81	0.1841495%
京城	81	0.1841495%
多	80	0.181876%
什么	79	0.1796026%
给	79	0.1796026%
相公	78	0.1773292%
被	76	0.1727822%
看	76	0.1727822%
好	76	0.1727822%
过	75	0.1705088%
起来	70	0.1591415%
很	67	0.1523212%
不是	64	0.1455008%
哪	62	0.1409539%
几	62	0.1409539%
不过	62	0.1409539%
并	61	0.1386805%
只	59	0.1341336%
已经	59	0.1341336%
怎么	59	0.1341336%
会	59	0.1341336%
听	58	0.1318601%
虽然	58	0.1318601%
因为	57	0.1295867%
小	55	0.1250398%
中	54	0.1227663%
三	54	0.1227663%
从	54	0.1227663%
像	53	0.1204929%
解雨	53	0.1204929%
魏柔	53	0.1204929%
与	53	0.1204929%
皇上	52	0.1182194%
只是	51	0.115946%
起	51	0.115946%
年	50	0.1136725%
笑道	49	0.1113991%
但	49	0.1113991%
比	49	0.1113991%
自己	48	0.1091256%
话	48	0.1091256%
太	46	0.1045787%
女	46	0.1045787%
再	46	0.1045787%
江南	46	0.1045787%
见	45	0.1023053%
它	45	0.1023053%
时候	44	0.1000318%
怕	44	0.1000318%
进	43	0.09775838%
六娘	43	0.09775838%
人家	43	0.09775838%
下	43	0.09775838%
姐姐	43	0.09775838%
家	42	0.09548493%
吗	42	0.09548493%
这个	42	0.09548493%
别	41	0.09321148%
已	40	0.09093802%
这么	40	0.09093802%
楼	40	0.09093802%
回	39	0.08866458%
