，	85883	8.599669%
的	47245	4.730754%
了	25673	2.570698%
我	25505	2.553876%
。	20823	2.085057%
“	15099	1.511899%
”	14708	1.472747%
是	14395	1.441406%
在	8901	0.8912783%
不	8441	0.8452174%
一	7778	0.7788296%
他	7265	0.7274617%
就	7135	0.7144445%
！	7077	0.7086368%
她	6698	0.6706867%
也	6540	0.6548657%
？	6530	0.6538644%
你	5728	0.5735583%
这	5423	0.5430179%
有	4792	0.4798343%
和	4618	0.4624113%
都	4544	0.4550015%
：	4463	0.4468908%
那	4390	0.4395811%
可	4201	0.4206561%
人	3985	0.3990275%
说	3716	0.3720919%
上	3668	0.3672855%
却	3547	0.3551695%
个	3459	0.3463579%
着	3459	0.3463579%
来	3407	0.341151%
把	3211	0.3215251%
而	3211	0.3215251%
道	3060	0.3064051%
让	2882	0.2885815%
、	2746	0.2749635%
地	2704	0.2707579%
两	2559	0.2562388%
要	2507	0.2510319%
还	2496	0.2499304%
大	2496	0.2499304%
里	2492	0.2495299%
去	2470	0.247327%
出	2433	0.2436221%
到	2431	0.2434218%
又	2416	0.2419198%
得	2405	0.2408184%
知道	2247	0.2249974%
没	2207	0.2209921%
没有	2185	0.2187892%
一个	2147	0.2149842%
看	2097	0.2099776%
想	2075	0.2077747%
已经	2062	0.206473%
能	2054	0.2056719%
对	2015	0.2017667%
过	1962	0.1964597%
便	1914	0.1916534%
自己	1863	0.1865466%
会	1837	0.1839432%
之	1832	0.1834425%
被	1824	0.1826414%
江湖	1797	0.1799379%
才	1780	0.1782356%
吧	1777	0.1779352%
好	1756	0.1758325%
只是	1708	0.1710261%
只	1686	0.1688232%
多	1667	0.1669207%
虽然	1615	0.1617138%
中	1614	0.1616137%
不过	1614	0.1616137%
起来	1605	0.1607125%
给	1595	0.1597111%
……	1594	0.159611%
什么	1579	0.158109%
呢	1501	0.1502987%
与	1496	0.149798%
并	1488	0.148997%
听	1481	0.148296%
下	1406	0.1407861%
从	1405	0.140686%
起	1326	0.1327755%
吗	1300	0.1301721%
几	1284	0.12857%
魏柔	1279	0.1280693%
真	1235	0.1236635%
解雨	1215	0.1216608%
大江盟	1159	0.1160534%
呀	1122	0.1123485%
心中	1115	0.1116476%
无瑕	1104	0.1105461%
不是	1090	0.1091443%
时候	1089	0.1090442%
很	1088	0.108944%
连	1077	0.1078426%
萧潇	1055	0.1056397%
更	1053	0.1054394%
小	1049	0.1050389%
似乎	1041	0.1042378%
话	1022	0.1023353%
还是	1012	0.101334%
见	1010	0.1011337%
三	1009	0.1010336%
该	1008	0.1009334%
等	1007	0.1008333%
再	995	0.09963171%
有些	995	0.09963171%
怎么	987	0.09883066%
∶	976	0.0977292%
笑道	968	0.09692814%
因为	947	0.09482536%
慕容	940	0.09412443%
做	931	0.09322324%
