，	21917	8.208429%
的	14022	5.251567%
我	8095	3.031767%
了	6861	2.569605%
。	6513	2.439271%
“	4352	1.629926%
”	4308	1.613447%
是	3982	1.491352%
在	2495	0.9344359%
不	2309	0.8647746%
一	2278	0.8531644%
她	2159	0.8085961%
？	2007	0.7516685%
也	1820	0.6816326%
就	1724	0.6456784%
他	1461	0.5471787%
这	1451	0.5434335%
那	1418	0.5310742%
有	1346	0.5041085%
和	1295	0.4850078%
你	1167	0.4370688%
！	1132	0.4239605%
都	1062	0.3977439%
人	998	0.3737744%
把	985	0.3689056%
个	953	0.3569208%
说	939	0.3516775%
上	887	0.3322023%
便	883	0.3307042%
∶	871	0.3262099%
来	857	0.3209666%
看	827	0.3097309%
让	819	0.3067347%
却	799	0.2992442%
可	797	0.2984952%
道	786	0.2943754%
、	740	0.2771473%
知道	729	0.2730276%
而	709	0.2655371%
还	690	0.2584212%
没有	689	0.2580466%
出	683	0.2557995%
里	671	0.2513052%
一个	642	0.240444%
两	636	0.2381969%
要	621	0.232579%
萧潇	612	0.2292083%
到	610	0.2284593%
去	592	0.2217179%
想	585	0.2190962%
不过	585	0.2190962%
得	584	0.2187217%
会	582	0.2179726%
过	575	0.215351%
大	564	0.2112312%
已经	557	0.2086096%
又	556	0.208235%
并	552	0.2067369%
对	545	0.2041153%
著	530	0.1984974%
没	525	0.1966248%
能	515	0.1928796%
玲珑	508	0.1902579%
呀	500	0.1872617%
江湖	490	0.1835165%
无瑕	489	0.1831419%
吧	488	0.1827674%
只	486	0.1820184%
吗	479	0.1793967%
有些	473	0.1771496%
给	470	0.176026%
才	468	0.175277%
好	467	0.1749024%
：	458	0.1715317%
被	454	0.1700336%
多	437	0.1636667%
之	417	0.1561763%
听	405	0.151682%
自己	404	0.1513075%
真	404	0.1513075%
着	403	0.1509329%
脸上	398	0.1490603%
中	397	0.1486858%
虽然	393	0.1471877%
只是	392	0.1468132%
呢	386	0.144566%
从	384	0.143817%
起	359	0.1344539%
宝大祥	345	0.1292106%
大江盟	337	0.1262144%
很	336	0.1258399%
时候	335	0.1254653%
十二	335	0.1254653%
下	332	0.1243418%
小	321	0.120222%
笑道	320	0.1198475%
什麽	319	0.119473%
似乎	318	0.1190984%
起来	309	0.1157277%
心中	308	0.1153532%
连	304	0.1138551%
鲁卫	300	0.112357%
六娘	300	0.112357%
奶	299	0.1119825%
玉珑	298	0.111608%
几	292	0.1093608%
还是	288	0.1078627%
