，	50457	8.254265%
的	31077	5.083889%
我	16206	2.651141%
了	15806	2.585705%
。	12841	2.10066%
“	9114	1.49096%
”	8966	1.466749%
是	8934	1.461514%
在	5709	0.9339358%
不	4999	0.8177868%
一	4720	0.7721452%
就	4350	0.7116169%
他	4316	0.7060548%
她	4189	0.6852788%
也	4138	0.6769357%
！	4108	0.6720281%
？	4057	0.663685%
这	3313	0.5419739%
你	3068	0.5018944%
有	2976	0.4868441%
那	2914	0.4767015%
和	2867	0.4690128%
都	2779	0.4546168%
人	2571	0.4205901%
可	2300	0.3762572%
：	2219	0.3630064%
上	2155	0.3525366%
说	2154	0.352373%
把	2152	0.3520459%
个	2110	0.3451751%
而	2042	0.334051%
来	2025	0.3312699%
却	1976	0.323254%
让	1937	0.316874%
着	1880	0.3075494%
道	1842	0.3013329%
、	1777	0.2906996%
里	1605	0.2625621%
还	1540	0.2519287%
没有	1493	0.24424%
大	1491	0.2439128%
出	1484	0.2427677%
要	1463	0.2393323%
两	1458	0.2385143%
到	1458	0.2385143%
去	1446	0.2365513%
便	1431	0.2340974%
看	1406	0.2300077%
已经	1406	0.2300077%
又	1405	0.2298441%
知道	1397	0.2285353%
一个	1389	0.2272266%
地	1365	0.2233005%
得	1315	0.215121%
想	1246	0.2038332%
能	1236	0.2021973%
吧	1224	0.2002343%
对	1206	0.1972896%
过	1202	0.1966353%
没	1185	0.1938542%
江湖	1172	0.1917276%
会	1168	0.1910732%
呢	1158	0.1894373%
自己	1152	0.1884558%
只是	1109	0.1814214%
被	1108	0.1812578%
只	1093	0.178804%
多	1088	0.177986%
并	1082	0.1770045%
不过	1068	0.1747142%
好	1067	0.1745506%
之	1057	0.1729147%
中	1030	0.1684978%
虽然	1007	0.1647352%
给	1007	0.1647352%
与	961	0.1572101%
吗	949	0.155247%
呀	937	0.1532839%
听	919	0.1503393%
从	909	0.1487034%
∶	884	0.1446136%
无瑕	883	0.14445%
起来	866	0.141669%
才	857	0.1401967%
萧潇	848	0.1387244%
什么	838	0.1370885%
真	817	0.1336531%
解雨	817	0.1336531%
下	814	0.1331623%
有些	790	0.1292362%
……	786	0.1285818%
大江盟	778	0.1272731%
慕容	771	0.126128%
起	759	0.1241649%
几	756	0.1236741%
时候	754	0.1233469%
似乎	754	0.1233469%
心中	751	0.1228562%
玲珑	728	0.1190936%
连	716	0.1171305%
很	708	0.1158218%
该	697	0.1140223%
脸上	689	0.1127136%
笑道	672	0.1099325%
还是	665	0.1087874%
话	658	0.1076423%
更	622	0.101753%
小	616	0.1007715%
不是	614	0.1004443%
著	605	0.098972%
做	605	0.098972%
六娘	605	0.098972%
三	603	0.09864482%
因为	603	0.09864482%
等	597	0.09766328%
竟	590	0.09651815%
这个	581	0.09504583%
魏柔	578	0.09455507%
像	574	0.09390071%
出来	574	0.09390071%
正	566	0.09259199%
他们	563	0.09210122%
再	556	0.09095608%
秦楼	555	0.0907925%
怎么	532	0.08702993%
目光	530	0.08670274%
它	519	0.08490326%
见	514	0.0840853%
进	509	0.08326735%
用	508	0.08310376%
那些	485	0.07934119%
家	480	0.07852324%
之后	478	0.07819606%
太	477	0.07803247%
最	476	0.07786888%
苏州	475	0.07770529%
为	474	0.0775417%
宝大祥	473	0.07737811%
一声	471	0.07705093%
宝亭	469	0.07672375%
这么	467	0.07639657%
比	461	0.07541503%
鲁卫	457	0.07476067%
师父	455	0.07443349%
向	441	0.07214323%
十二	439	0.07181605%
顿时	436	0.07132527%
这样	429	0.07018015%
后	427	0.06985296%
住	425	0.06952579%
弟子	424	0.06936219%
将	424	0.06936219%
年	419	0.06854425%
真是	418	0.06838065%
成	416	0.06805348%
武功	412	0.06739911%
那个	411	0.06723552%
死	410	0.06707194%
少	408	0.06674475%
走	408	0.06674475%
突然	408	0.06674475%
；	407	0.06658117%
玉珑	402	0.06576321%
身上	400	0.06543604%
连环	400	0.06543604%
二	393	0.0642909%
或许	391	0.06396372%
一眼	380	0.06216423%
问	379	0.06200064%
恐怕	377	0.06167346%
谁	376	0.06150987%
打	374	0.06118269%
我们	373	0.0610191%
已	373	0.0610191%
唐门	372	0.06085551%
脸	366	0.05987397%
一下	366	0.05987397%
下来	365	0.05971038%
倒是	364	0.05954679%
这些	364	0.05954679%
前	363	0.0593832%
大人	362	0.05921961%
手	361	0.05905602%
现在	360	0.05889243%
门派	360	0.05889243%
啊	357	0.05840166%
十	356	0.05823807%
苏瑾	355	0.05807448%
四	354	0.05791089%
若是	353	0.0577473%
心	352	0.05758371%
显然	352	0.05758371%
事情	352	0.05758371%
可能	349	0.05709294%
些	347	0.05676576%
一丝	346	0.05660217%
如	343	0.0561114%
看到	343	0.0561114%
可以	341	0.05578422%
魔门	339	0.05545704%
倒	338	0.05529345%
玉玲	333	0.0544755%
过来	332	0.05431191%
武林	329	0.05382114%
身子	329	0.05382114%
叫	328	0.05365755%
春水剑派	327	0.05349396%
如此	326	0.05333037%
世家	326	0.05333037%
天	322	0.05267601%
明白	322	0.05267601%
一般	321	0.05251241%
什麽	319	0.05218524%
公子	316	0.05169447%
声音	316	0.05169447%
武舞	316	0.05169447%
她们	314	0.05136729%
纔	314	0.05136729%
女人	309	0.05054934%
就是	308	0.05038575%
隐湖	307	0.05022215%
回	305	0.04989497%
女	302	0.0494042%
别	301	0.04924062%
无暇	300	0.04907703%
汉子	299	0.04891343%
奶	299	0.04891343%
快	299	0.04891343%
唐三藏	298	0.04874985%
姐妹	297	0.04858625%
带	296	0.04842266%
是不是	295	0.04825908%
淫贼	294	0.04809548%
间	290	0.04744112%
大家	286	0.04678676%
一样	286	0.04678676%
姐姐	285	0.04662317%
甚至	285	0.04662317%
同盟会	285	0.04662317%
口	283	0.04629599%
当	281	0.04596881%
坞	281	0.04596881%
笑	280	0.04580522%
点	279	0.04564163%
早	278	0.04547804%
齐小天	278	0.04547804%
杭州	277	0.04531445%
孙妙	277	0.04531445%
找	276	0.04515086%
其实	275	0.04498727%
自然	275	0.04498727%
夫人	275	0.04498727%
难道	274	0.04482368%
那么	272	0.0444965%
落	271	0.04433291%
眼中	270	0.04416932%
竟是	269	0.04400573%
心里	267	0.04367855%
就算	266	0.04351496%
怕	266	0.04351496%
则	266	0.04351496%
究竟	265	0.04335137%
时间	263	0.04302419%
所	263	0.04302419%
发现	263	0.04302419%
以	262	0.0428606%
麽	261	0.04269701%
可是	261	0.04269701%
看来	260	0.04253342%
想到	256	0.04187906%
总	253	0.04138829%
变	253	0.04138829%
为了	252	0.0412247%
