，	28464	8.065444%
的	18288	5.182014%
我	10282	2.913466%
了	9164	2.596674%
。	8049	2.280732%
“	5642	1.598694%
”	5569	1.578009%
是	5252	1.488186%
在	3341	0.9466922%
不	2983	0.8452508%
一	2971	0.8418505%
她	2693	0.7630776%
？	2580	0.7310584%
也	2402	0.680621%
就	2287	0.648035%
他	2101	0.5953308%
！	2055	0.5822965%
这	1933	0.547727%
那	1845	0.5227917%
有	1713	0.4853888%
和	1709	0.4842553%
你	1643	0.4655538%
都	1487	0.4213503%
人	1439	0.4077492%
个	1281	0.362979%
把	1275	0.3612788%
说	1266	0.3587286%
上	1227	0.3476778%
可	1137	0.3221757%
来	1124	0.3184921%
却	1090	0.308858%
道	1073	0.3040409%
让	1073	0.3040409%
便	1062	0.300924%
、	1061	0.3006407%
而	1013	0.2870396%
看	1007	0.2853394%
：	1002	0.2839227%
里	971	0.2751386%
出	900	0.2550204%
还	894	0.2533202%
知道	886	0.2510534%
∶	871	0.246803%
没有	856	0.2425527%
两	853	0.2417026%
一个	849	0.2405692%
要	824	0.2334853%
去	821	0.2326352%
得	804	0.2278182%
到	797	0.2258347%
已经	786	0.2227178%
又	783	0.2218677%
过	743	0.2105335%
大	743	0.2105335%
无瑕	736	0.20855%
想	734	0.2079833%
着	722	0.204583%
江湖	716	0.2028829%
会	712	0.2017494%
吧	711	0.2014661%
不过	698	0.1977825%
能	695	0.1969324%
对	694	0.196649%
并	693	0.1963657%
没	666	0.1887151%
萧潇	666	0.1887151%
呀	664	0.1881483%
只	641	0.1816312%
呢	635	0.179931%
吗	632	0.179081%
玲珑	627	0.1776642%
好	624	0.1768141%
给	609	0.1725638%
多	609	0.1725638%
被	605	0.1714303%
著	598	0.1694469%
只是	598	0.1694469%
地	598	0.1694469%
之	569	0.1612295%
大江盟	566	0.1603795%
自己	564	0.1598128%
有些	564	0.1598128%
才	554	0.1569792%
中	539	0.1527289%
听	538	0.1524455%
真	533	0.1510287%
从	521	0.1476285%
虽然	509	0.1442282%
脸上	501	0.1419613%
起	475	0.1345941%
时候	452	0.1280769%
很	441	0.12496%
似乎	441	0.12496%
心中	441	0.12496%
下	434	0.1229765%
笑道	424	0.1201429%
起来	423	0.1198596%
连	413	0.117026%
十二	407	0.1153259%
小	405	0.1147592%
几	395	0.1119256%
宝大祥	393	0.1113589%
与	387	0.1096588%
还是	383	0.1085253%
慕容	373	0.1056918%
话	371	0.1051251%
六娘	367	0.1039916%
不是	363	0.1028582%
它	362	0.1025749%
什么	354	0.100308%
像	350	0.09917458%
那些	347	0.09832451%
三	344	0.09747445%
目光	338	0.09577432%
玉珑	337	0.09549095%
师父	330	0.09350747%
鲁卫	329	0.09322411%
做	325	0.09209069%
因为	324	0.09180733%
秦楼	324	0.09180733%
正	323	0.09152398%
出来	319	0.09039055%
什麽	319	0.09039055%
该	317	0.08982383%
这个	316	0.08954048%
等	314	0.08897377%
竟	310	0.08784035%
魏柔	310	0.08784035%
宝亭	310	0.08784035%
再	305	0.08642357%
更	304	0.08614021%
进	303	0.08585685%
奶	299	0.08472343%
用	298	0.08444007%
解雨	297	0.08415672%
连环	296	0.08387336%
苏州	289	0.08188987%
他们	287	0.08132316%
……	287	0.08132316%
见	282	0.07990638%
一声	280	0.07933967%
问	277	0.0784896%
玉玲	276	0.07820624%
走	270	0.07650611%
一眼	268	0.07593939%
太	268	0.07593939%
坞	265	0.07508933%
突然	264	0.07480597%
麽	261	0.0739559%
姐妹	256	0.07253912%
春水剑派	256	0.07253912%
看到	256	0.07253912%
无暇	256	0.07253912%
为	255	0.07225577%
身上	255	0.07225577%
最	253	0.07168905%
那个	252	0.0714057%
手	252	0.0714057%
夫人	252	0.0714057%
比	251	0.07112235%
魔门	251	0.07112235%
些	250	0.07083899%
年	248	0.07027227%
向	247	0.06998892%
将	243	0.06885549%
脸	242	0.06857214%
死	242	0.06857214%
真是	242	0.06857214%
少	242	0.06857214%
武功	242	0.06857214%
；	239	0.06772207%
成	236	0.06687201%
弟子	236	0.06687201%
淫贼	232	0.06573858%
这样	232	0.06573858%
显然	232	0.06573858%
公子	231	0.06545523%
家	229	0.06488851%
玉	228	0.06460515%
女人	228	0.06460515%
怎么	227	0.0643218%
谁	226	0.06403845%
前	226	0.06403845%
二	226	0.06403845%
苏瑾	224	0.06347173%
后	223	0.06318838%
汉子	221	0.06262167%
倒	221	0.06262167%
杭州	220	0.06233831%
身子	220	0.06233831%
叫	218	0.0617716%
住	218	0.0617716%
恐怕	215	0.06092153%
是不是	212	0.06007146%
一丝	210	0.05950475%
顿时	209	0.05922139%
倒是	209	0.05922139%
隐湖	209	0.05922139%
啊	205	0.05808797%
若是	204	0.05780461%
打	203	0.05752126%
她们	203	0.05752126%
一下	203	0.05752126%
齐小天	203	0.05752126%
声音	202	0.0572379%
现在	201	0.05695455%
孙妙	200	0.05667119%
之后	198	0.05610448%
或许	198	0.05610448%
带	197	0.05582112%
如	195	0.05525441%
四	195	0.05525441%
怎麽	195	0.05525441%
这么	193	0.0546877%
爷	192	0.05440434%
回	191	0.05412099%
间	190	0.05383763%
过来	190	0.05383763%
这些	190	0.05383763%
武舞	190	0.05383763%
下来	189	0.05355427%
一般	188	0.05327092%
一样	188	0.05327092%
大人	187	0.05298756%
姐姐	186	0.05270421%
明白	185	0.05242085%
霁月斋	185	0.05242085%
一阵	184	0.05213749%
如此	183	0.05185414%
事情	183	0.05185414%
快	182	0.05157078%
我们	180	0.05100407%
心	179	0.05072071%
看来	179	0.05072071%
姑娘	178	0.05043736%
找	178	0.05043736%
天	174	0.04930394%
已	172	0.04873722%
您	170	0.04817051%
当	170	0.04817051%
难道	169	0.04788716%
模样	169	0.04788716%
可以	167	0.04732044%
眼中	166	0.04703709%
口	166	0.04703709%
就是	163	0.04618702%
心里	163	0.04618702%
早	162	0.04590366%
变	162	0.04590366%
点	161	0.04562031%
觉得	161	0.04562031%
武林	159	0.0450536%
可能	159	0.0450536%
门派	156	0.04420353%
笑	154	0.04363682%
自然	154	0.04363682%
大家	154	0.04363682%
满	153	0.04335346%
女	153	0.04335346%
银子	153	0.04335346%
高	151	0.04278675%
关系	151	0.04278675%
究竟	150	0.04250339%
世家	149	0.04222004%
老师	149	0.04222004%
十	148	0.04193668%
扬州	147	0.04165332%
那里	147	0.04165332%
原来	147	0.04165332%
想起	147	0.04165332%
想来	146	0.04136997%
说话	146	0.04136997%
竟是	146	0.04136997%
吃	145	0.04108661%
声	145	0.04108661%
消息	145	0.04108661%
珠宝	144	0.04080326%
跟	142	0.04023654%
露出	141	0.03995319%
高手	141	0.03995319%
怕	141	0.03995319%
想到	141	0.03995319%
怀里	141	0.03995319%
其实	140	0.03966983%
听到	140	0.03966983%
剑	139	0.03938648%
还有	139	0.03938648%
许多	139	0.03938648%
一笑	139	0.03938648%
正是	138	0.03910312%
为了	138	0.03910312%
┅┅	137	0.03881977%
们	137	0.03881977%
众人	137	0.03881977%
别	136	0.03853641%
主子	136	0.03853641%
落	136	0.03853641%
身	135	0.03825305%
总	135	0.03825305%
开始	135	0.03825305%
太湖	133	0.03768634%
次	132	0.03740299%
以	132	0.03740299%
一下子	132	0.03740299%
替	132	0.03740299%
五	132	0.03740299%
发现	132	0.03740299%
清楚	131	0.03711963%
开	131	0.03711963%
可是	131	0.03711963%
齐萝	131	0.03711963%
拿	130	0.03683627%
拉	130	0.03683627%
女子	129	0.03655292%
事	128	0.03626956%
齐放	128	0.03626956%
屋子	128	0.03626956%
件	128	0.03626956%
甚至	128	0.03626956%
望著	127	0.03598621%
张	127	0.03598621%
师兄	127	0.03598621%
老	126	0.03570285%
若	126	0.03570285%
实在	125	0.03541949%
往	125	0.03541949%
杀	124	0.03513614%
颇	124	0.03513614%
宫难	123	0.03485278%
位	123	0.03485278%
望	123	0.03485278%
当然	122	0.03456943%
帮	122	0.03456943%
果然	122	0.03456943%
时间	122	0.03456943%
定	122	0.03456943%
万	121	0.03428607%
身份	121	0.03428607%
就算	120	0.03400271%
王动	120	0.03400271%
只有	120	0.03400271%
转	120	0.03400271%
所	120	0.03400271%
┅	119	0.03371936%
竟然	119	0.03371936%
微微	119	0.03371936%
娘	118	0.033436%
句	118	0.033436%
行	118	0.033436%
表情	118	0.033436%
应该	117	0.03315265%
毕竟	117	0.03315265%
股	116	0.03286929%
气	115	0.03258593%
站	115	0.03258593%
离开	115	0.03258593%
唐三藏	114	0.03230258%
刚	114	0.03230258%
刀	114	0.03230258%
不知	114	0.03230258%
妹妹	113	0.03201922%
忙	113	0.03201922%
坐	113	0.03201922%
得到	113	0.03201922%
告诉	112	0.03173587%
则	112	0.03173587%
传来	112	0.03173587%
请	111	0.03145251%
送	111	0.03145251%
。”	111	0.03145251%
惊讶	110	0.03116916%
原本	110	0.03116916%
听说	109	0.0308858%
人物	109	0.0308858%
旁边	108	0.03060244%
变成	108	0.03060244%
买	107	0.03031909%
李岐山	107	0.03031909%
般	106	0.03003573%
身后	106	0.03003573%
闪	106	0.03003573%
女孩	106	0.03003573%
高光祖	106	0.03003573%
算	104	0.02946902%
实力	104	0.02946902%
嘛	104	0.02946902%
名字	103	0.02918566%
老弟	103	0.02918566%
一番	102	0.02890231%
眼睛	102	0.02890231%
女儿	102	0.02890231%
立刻	102	0.02890231%
连环坞	102	0.02890231%
文公达	102	0.02890231%
见到	101	0.02861895%
岁	101	0.02861895%
先	101	0.02861895%
的话	101	0.02861895%
李	101	0.02861895%
问道	101	0.02861895%
如何	100	0.0283356%
大哥	100	0.0283356%
俩	99	0.02805224%
头	99	0.02805224%
沈希仪	99	0.02805224%
章	98	0.02776888%
而且	98	0.02776888%
很快	98	0.02776888%
跑	97	0.02748553%
奇怪	97	0.02748553%
李之扬	97	0.02748553%
无	97	0.02748553%
副	97	0.02748553%
一句	97	0.02748553%
喜欢	96	0.02720217%
双	96	0.02720217%
一起	96	0.02720217%
丫头	96	0.02720217%
客人	95	0.02691882%
但	95	0.02691882%
隋礼	95	0.02691882%
在下	94	0.02663546%
既然	94	0.02663546%
之间	94	0.02663546%
眼里	94	0.02663546%
第一	93	0.0263521%
江南	93	0.0263521%
笑容	93	0.0263521%
七	93	0.0263521%
南元子	93	0.0263521%
渐渐	93	0.0263521%
李思	93	0.0263521%
身边	92	0.02606875%
远	92	0.02606875%
轻轻	92	0.02606875%
像是	92	0.02606875%
桂萼	92	0.02606875%
齐	91	0.02578539%
本	91	0.02578539%
月	90	0.02550204%
盟主	90	0.02550204%
换	90	0.02550204%
而已	90	0.02550204%
一切	90	0.02550204%
男人	90	0.02550204%
真的	90	0.02550204%
流	90	0.02550204%
纔	90	0.02550204%
『	89	0.02521868%
唐门	89	0.02521868%
小声	89	0.02521868%
里面	89	0.02521868%
发生	89	0.02521868%
有人	89	0.02521868%
眼前	88	0.02493532%
东西	88	0.02493532%
几乎	88	0.02493532%
心头	88	0.02493532%
