，  3525 5.026165%
的  2018 2.87739%
  1994 2.843169%

  1994 2.843169%
我  1435 2.046112%
了  1149 1.638316%
一  1047 1.492878%
是  1006 1.434417%
。  910 1.297535%
不  858 1.22339%
“  785 1.119302%
”  785 1.119302%
大  590 0.8412588%
有  529 0.7542812%
在  529 0.7542812%
人  523 0.745726%
来  485 0.6915432%
道  446 0.6359346%
那  436 0.621676%
宝  405 0.5774742%
子  400 0.5703449%
这  388 0.5532346%
她  356 0.507607%
？  352 0.5019035%
他  339 0.4833673%
到  317 0.4519984%
心  317 0.4519984%
个  296 0.4220552%
就  295 0.4206294%
上  291 0.4149259%
中  289 0.4120742%
然  289 0.4120742%
也  286 0.4077966%
出  282 0.4020932%
你  280 0.3992414%
下  275 0.3921121%
之  264 0.3764277%
着  252 0.3593173%
可  249 0.3550397%
老  248 0.3536139%
得  239 0.3407811%
过  236 0.3365035%
说  229 0.3265225%
∶  228 0.3250966%
无  226 0.3222449%
！  225 0.320819%
看  219 0.3122638%
么  216 0.3079863%
地  215 0.3065604%
祥  212 0.3022828%
些  210 0.2994311%
没  208 0.2965794%
里  207 0.2951535%
师  206 0.2937276%
起  198 0.2823207%
身  195 0.2780432%
时  193 0.2751914%
而  190 0.2709138%
和  186 0.2652104%
想  183 0.2609328%
只  176 0.2509518%
自  176 0.2509518%
手  171 0.2438225%
眼  171 0.2438225%
天  171 0.2438225%
还  167 0.238119%
知  165 0.2352673%
公  164 0.2338414%
把  163 0.2324156%
便  163 0.2324156%
瑕  161 0.2295638%
为  158 0.2252862%
去  155 0.2210087%
情  154 0.2195828%
声  149 0.2124535%
武  149 0.2124535%
门  148 0.2110276%
解  147 0.2096018%
好  147 0.2096018%
都  146 0.2081759%
州  145 0.20675%
后  145 0.20675%
事  144 0.2053242%
要  140 0.1996207%
亭  139 0.1981949%
经  137 0.1953431%
竟  137 0.1953431%
让  137 0.1953431%
头  137 0.1953431%
两  136 0.1939173%
对  133 0.1896397%
：  132 0.1882138%
却  128 0.1825104%
样  127 0.1810845%
动  126 0.1796587%
李  126 0.1796587%
已  125 0.1782328%
家  125 0.1782328%
府  125 0.1782328%
见  125 0.1782328%
话  124 0.1768069%
、  122 0.1739552%
十  116 0.1654%
生  116 0.1654%
爷  116 0.1654%
多  115 0.1639742%
从  115 0.1639742%
年  115 0.1639742%
真  114 0.1625483%
会  113 0.1611224%
什  112 0.1596966%
前  111 0.1582707%
意  111 0.1582707%
小  110 0.1568449%
能  110 0.1568449%
文  109 0.155419%
笑  107 0.1525673%
正  106 0.1511414%
脸  103 0.1468638%
几  102 0.145438%
扬  102 0.145438%
江  101 0.1440121%
给  101 0.1440121%
又  100 0.1425862%
女  99 0.1411604%
杭  96 0.1368828%
雨  96 0.1368828%
面  95 0.1354569%
并  95 0.1354569%
呀  95 0.1354569%
开  95 0.1354569%
达  95 0.1354569%
才  94 0.1340311%
┅  94 0.1340311%
殷  94 0.1340311%
成  93 0.1326052%
二  92 0.1311793%
虽  92 0.1311793%
回  91 0.1297535%
珠  90 0.1283276%
听  89 0.1269017%
