，  3241 4.865125%
的  2249 3.376015%
  1320 1.981476%

  1320 1.981476%
了  1222 1.834367%
我  1029 1.544651%
是  992 1.489109%
一  991 1.487608%
。  913 1.370521%
不  781 1.172373%
人  520 0.7805815%
在  474 0.7115301%
来  461 0.6920155%
这  460 0.6905144%
就  432 0.6484831%
大  418 0.6274675%
”  413 0.6199619%
“  412 0.6184608%
有  409 0.6139574%
子  403 0.6049507%
道  386 0.5794317%
个  360 0.5404026%
！  358 0.5374004%
那  357 0.5358992%
他  348 0.5223892%
你  344 0.5163847%
上  334 0.5013735%
下  333 0.4998724%
然  299 0.4488344%
会  299 0.4488344%
也  292 0.4383266%
可  284 0.4263176%
着  272 0.4083042%
出  260 0.3902908%
她  244 0.3662729%
到  242 0.3632706%
中  241 0.3617695%
…  239 0.3587673%
心  238 0.3572662%
而  236 0.3542639%
江  234 0.3512617%
：  234 0.3512617%
盟  226 0.3392527%
地  225 0.3377516%
家  222 0.3332483%
同  217 0.3257427%
容  216 0.3242415%
过  212 0.3182371%
只  205 0.3077292%
好  204 0.3062281%
还  201 0.3017248%
说  199 0.2987225%
身  199 0.2987225%
？  198 0.2972214%
和  196 0.2942192%
么  196 0.2942192%
里  192 0.2882147%
慕  187 0.2807091%
没  186 0.279208%
去  185 0.2777069%
之  184 0.2762058%
起  182 0.2732035%
们  179 0.2687002%
都  178 0.2671991%
[  177 0.265698%
老  175 0.2626957%
要  174 0.2611946%
得  171 0.2566912%
后  166 0.2491856%
看  165 0.2476845%
手  162 0.2431812%
却  161 0.2416801%
把  161 0.2416801%
让  159 0.2386778%
自  159 0.2386778%
无  158 0.2371767%
声  155 0.2326733%
天  153 0.2296711%
马  153 0.2296711%
几  150 0.2251678%
为  146 0.2191633%
十  145 0.2176622%
已  145 0.2176622%
]  145 0.2176622%
眼  144 0.216161%
时  143 0.2146599%
经  141 0.2116577%
两  137 0.2056532%
小  136 0.2041521%
想  136 0.2041521%
对  134 0.2011499%
李  130 0.1951454%
头  130 0.1951454%
能  129 0.1936443%
长  129 0.1936443%
动  128 0.1921431%
生  127 0.190642%
高  123 0.1846376%
公  122 0.1831364%
许  120 0.1801342%
雨  120 0.1801342%
玉  120 0.1801342%
镇  118 0.177132%
话  116 0.1741297%
解  116 0.1741297%
多  115 0.1726286%
王  114 0.1711275%
竟  110 0.165123%
主  109 0.1636219%
笑  107 0.1606197%
弟  107 0.1606197%
实  106 0.1591185%
门  106 0.1591185%
乎  106 0.1591185%
听  106 0.1591185%
力  105 0.1576174%
开  105 0.1576174%
名  105 0.1576174%
真  105 0.1576174%
些  104 0.1561163%
事  104 0.1561163%
三  103 0.1546152%
儿  103 0.1546152%
虽  102 0.1531141%
且  102 0.1531141%
样  101 0.151613%
如  100 0.1501118%
前  98 0.1471096%
知  97 0.1456085%
又  97 0.1456085%
少  96 0.1441074%
似  95 0.1426062%
发  95 0.1426062%
女  95 0.1426062%
娘  95 0.1426062%
情  93 0.139604%
帮  92 0.1381029%
意  92 0.1381029%
给  91 0.1366018%
二  91 0.1366018%
当  90 0.1351006%
以  89 0.1335995%
什  89 0.1335995%
此  88 0.1320984%
被  87 0.1305973%
成  87 0.1305973%
孙  87 0.1305973%
万  85 0.1275951%
分  85 0.1275951%
战  85 0.1275951%
口  84 0.1260939%
己  84 0.1260939%
呀  84 0.1260939%
楼  83 0.1245928%
