，  3915 5.672269%
  1934 2.802086%

  1934 2.802086%
的  1822 2.639815%
了  1181 1.711098%
是  1063 1.540133%
一  1052 1.524196%
我  961 1.39235%
不  954 1.382208%
。  947 1.372066%
人  769 1.11417%
“  610 0.8838018%
”  610 0.8838018%
大  510 0.7389163%
来  496 0.7186323%
有  469 0.6795132%
他  461 0.6679223%
这  414 0.5998262%
子  411 0.5954795%
就  396 0.5737467%
道  386 0.5592582%
！  382 0.5534627%
个  381 0.5520139%
在  376 0.5447696%
上  370 0.5360765%
你  360 0.521588%
然  322 0.4665314%
可  310 0.4491452%
？  295 0.4274123%
也  273 0.3955375%
出  269 0.3897421%
说  267 0.3868444%
下  264 0.3824978%
：  261 0.3781513%
得  259 0.3752536%
心  251 0.3636627%
两  249 0.360765%
和  245 0.3549696%
过  245 0.3549696%
么  241 0.3491741%
到  237 0.3433787%
着  237 0.3433787%
她  223 0.3230948%
地  222 0.3216459%
身  216 0.3129528%
没  215 0.3115039%
自  213 0.3086062%
那  212 0.3071573%
儿  208 0.3013619%
都  206 0.2984642%
好  203 0.2941177%
光  200 0.2897711%
家  199 0.2883222%
还  197 0.2854245%
起  192 0.2781802%
要  192 0.2781802%
高  192 0.2781802%
江  191 0.2767314%
老  190 0.2752825%
…  176 0.2549986%
而  174 0.2521009%
看  174 0.2521009%
时  172 0.2492031%
蒋  172 0.2492031%
知  169 0.2448566%
能  169 0.2448566%
公  168 0.2434077%
话  168 0.2434077%
对  168 0.2434077%
去  168 0.2434077%
里  165 0.2390611%
情  165 0.2390611%
会  165 0.2390611%
手  163 0.2361634%
想  162 0.2347146%
之  158 0.2289191%
眼  156 0.2260214%
只  155 0.2245726%
声  153 0.2216749%
事  153 0.2216749%
真  149 0.2158795%
中  149 0.2158795%
头  144 0.2086352%
天  141 0.2042886%
却  139 0.2013909%
如  139 0.2013909%
已  137 0.1984932%
为  137 0.1984932%
方  136 0.1970443%
女  136 0.1970443%
们  130 0.1883512%
见  129 0.1869023%
少  128 0.1854535%
明  127 0.1840046%
年  126 0.1825558%
