，  3471 4.95171%
的  2462 3.512276%
  1796 2.562164%

  1796 2.562164%
是  1158 1.651996%
了  1132 1.614905%
我  986 1.406622%
一  968 1.380944%
不  776 1.107037%
。  750 1.069946%
人  573 0.8174387%
这  573 0.8174387%
有  551 0.7860536%
“  530 0.7560951%
”  530 0.7560951%
就  498 0.7104441%
来  477 0.6804856%
在  473 0.6747792%
他  462 0.6590867%
个  433 0.6177155%
大  420 0.5991697%
道  383 0.5463857%
上  346 0.4936017%
那  343 0.4893219%
子  341 0.4864688%
可  324 0.4622166%
也  314 0.4479507%
！  308 0.4393911%
说  287 0.4094326%
出  275 0.3923135%
然  267 0.3809007%
到  262 0.3737678%
门  261 0.3723412%
么  254 0.362355%
都  246 0.3509423%
她  242 0.3452359%
下  241 0.3438093%
中  239 0.3409561%
而  239 0.3409561%
之  227 0.323837%
？  227 0.323837%
会  227 0.323837%
时  226 0.3224104%
家  225 0.3209838%
江  224 0.3195572%
着  217 0.309571%
过  217 0.309571%
心  216 0.3081444%
没  215 0.3067178%
：  212 0.3024381%
得  209 0.2981583%
只  207 0.2953051%
还  206 0.2938785%
起  203 0.2895987%
十  193 0.2753327%
里  191 0.2724796%
为  190 0.271053%
话  188 0.2681998%
要  187 0.2667732%
经  183 0.2610668%
让  183 0.2610668%
武  181 0.2582136%
你  180 0.256787%
身  175 0.2496541%
派  174 0.2482275%
地  173 0.2468009%
想  173 0.2468009%
与  172 0.2453743%
生  172 0.2453743%
已  169 0.2410945%
多  168 0.2396679%
容  168 0.2396679%
好  167 0.2382413%
笑  166 0.2368147%
对  165 0.2353881%
看  164 0.2339615%
名  163 0.2325349%
和  162 0.2311083%
自  156 0.2225488%
后  155 0.2211222%
眼  155 0.2211222%
…  154 0.2196956%
情  150 0.2139892%
无  150 0.2139892%
能  150 0.2139892%
把  150 0.2139892%
、  148 0.211136%
些  144 0.2054296%
苏  143 0.204003%
竟  142 0.2025764%
天  140 0.1997232%
湖  139 0.1982967%
头  139 0.1982967%
去  138 0.1968701%
当  137 0.1954435%
老  137 0.1954435%
知  136 0.1940169%
却  133 0.1897371%
少  130 0.1854573%
小  129 0.1840307%
公  129 0.1840307%
意  128 0.1826041%
面  127 0.1811775%
动  125 0.1783243%
们  125 0.1783243%
实  124 0.1768977%
样  124 0.1768977%
同  123 0.1754711%
慕  120 0.1711913%
两  118 0.1683382%
白  118 0.1683382%
几  118 0.1683382%
事  117 0.1669116%
真  116 0.165485%
三  116 0.165485%
候  115 0.1640584%
吧  114 0.1626318%
儿  112 0.1597786%
手  111 0.158352%
如  109 0.1554988%
正  108 0.1540722%
分  107 0.1526456%
齐  107 0.1526456%
娘  106 0.151219%
别  105 0.1497924%
以  102 0.1455126%
什  100 0.1426595%
此  99 0.1412329%
盟  99 0.1412329%
许  99 0.1412329%
六  98 0.1398063%
又  98 0.1398063%
纔  98 0.1398063%
该  97 0.1383797%
呢  95 0.1355265%
相  94 0.1340999%
州  93 0.1326733%
于  92 0.1312467%
明  92 0.1312467%
其  91 0.1298201%
发  91 0.1298201%
百  90 0.1283935%
林  90 0.1283935%
听  90 0.1283935%
前  89 0.1269669%
比  89 0.1269669%
年  88 0.1255403%
功  87 0.1241137%
间  87 0.1241137%
乎  87 0.1241137%
战  86 0.1226871%
见  85 0.1212605%
女  85 0.1212605%
己  84 0.1198339%
解  84 0.1198339%
瑾  83 0.1184073%
呀  80 0.1141276%
连  80 0.1141276%
因  80 0.1141276%
山  79 0.112701%
点  78 0.1112744%
杨  78 0.1112744%
现  77 0.1098478%
师  76 0.1084212%
虽  76 0.1084212%
做  76 0.1084212%
怎  76 0.1084212%
再  76 0.1084212%
从  75 0.1069946%
回  75 0.1069946%
声  75 0.1069946%
茶  75 0.1069946%
