，  3645 5.301741%
的  2059 2.994865%
  1940 2.821777%

  1940 2.821777%
了  1173 1.706157%
我  1036 1.506887%
一  1021 1.485069%
。  1007 1.464706%
是  877 1.275618%
不  853 1.240709%
“  614 0.8930779%
”  614 0.8930779%
人  542 0.7883522%
大  501 0.7287167%
来  497 0.7228986%
他  490 0.7127169%
有  451 0.6559905%
在  410 0.596355%
唐  363 0.5279923%
可  347 0.5047199%
然  337 0.4901747%
就  336 0.4887202%
门  323 0.4698114%
！  320 0.4654478%
上  315 0.4581752%
道  307 0.446539%
这  303 0.4407209%
子  303 0.4407209%
也  299 0.4349028%
出  293 0.4261756%
个  293 0.4261756%
得  277 0.4029032%
天  268 0.3898125%
和  265 0.3854489%
地  259 0.3767218%
而  254 0.3694492%
江  249 0.3621765%
说  245 0.3563584%
着  243 0.3534494%
下  237 0.3447223%
你  236 0.3432677%
中  233 0.3389042%
：  229 0.3330861%
到  229 0.3330861%
当  223 0.3243589%
会  222 0.3229044%
心  219 0.3185408%
那  219 0.3185408%
过  218 0.3170863%
没  210 0.3054501%
老  198 0.2879958%
都  198 0.2879958%
么  196 0.2850868%
？  194 0.2821777%
起  193 0.2807232%
去  193 0.2807232%
对  192 0.2792687%
还  191 0.2778141%
三  190 0.2763596%
话  186 0.2705415%
手  184 0.2676325%
自  183 0.266178%
之  183 0.266178%
眼  181 0.2632689%
身  181 0.2632689%
里  181 0.2632689%
时  181 0.2632689%
家  177 0.2574508%
武  173 0.2516327%
要  170 0.2472691%
已  164 0.238542%
却  164 0.238542%
无  162 0.2356329%
两  158 0.2298148%
能  157 0.2283603%
只  157 0.2283603%
她  154 0.2239967%
儿  153 0.2225422%
想  152 0.2210877%
们  151 0.2196332%
声  150 0.2181786%
为  148 0.2152696%
、  144 0.2094515%
几  141 0.2050879%
经  140 0.2036334%
清  139 0.2021789%
好  138 0.2007243%
知  138 0.2007243%
意  138 0.2007243%
看  138 0.2007243%
如  135 0.1963608%
相  135 0.1963608%
湖  132 0.1919972%
小  132 0.1919972%
少  126 0.1832701%
盟  126 0.1832701%
笑  125 0.1818155%
事  125 0.1818155%
头  122 0.177452%
十  122 0.177452%
情  120 0.1745429%
年  117 0.1701793%
动  115 0.1672703%
把  114 0.1658158%
后  114 0.1658158%
让  112 0.1629067%
多  112 0.1629067%
见  111 0.1614522%
剑  109 0.1585432%
前  108 0.1570886%
又  106 0.1541796%
…  106 0.1541796%
力  106 0.1541796%
正  105 0.1527251%
才  104 0.1512705%
师  103 0.149816%
同  103 0.149816%
听  103 0.149816%
女  102 0.1483615%
娘  102 0.1483615%
生  101 0.146907%
竟  100 0.1454524%
雨  100 0.1454524%
高  100 0.1454524%
以  100 0.1454524%
藏  99 0.1439979%
威  98 0.1425434%
明  97 0.1410889%
解  95 0.1381798%
容  95 0.1381798%
虽  94 0.1367253%
真  93 0.1352708%
面  93 0.1352708%
己  93 0.1352708%
派  92 0.1338162%
开  92 0.1338162%
白  91 0.1323617%
风  90 0.1309072%
点  90 0.1309072%
给  89 0.1294527%
长  89 0.1294527%
气  88 0.1279981%
思  88 0.1279981%
成  88 0.1279981%
边  87 0.1265436%
发  87 0.1265436%
法  87 0.1265436%
潇  86 0.1250891%
被  85 0.1236346%
弟  84 0.12218%
名  84 0.12218%
变  81 0.1178165%
样  79 0.1149074%
乎  79 0.1149074%
林  78 0.1134529%
主  78 0.1134529%
放  78 0.1134529%
萧  78 0.1134529%
口  77 0.1119984%
公  77 0.1119984%
很  77 0.1119984%
刀  77 0.1119984%
此  76 0.1105438%
打  76 0.1105438%
南  76 0.1105438%
更  76 0.1105438%
连  75 0.1090893%
铁  75 0.1090893%
别  74 0.1076348%
回  74 0.1076348%
实  74 0.1076348%
再  73 0.1061803%
光  72 0.1047257%
脸  72 0.1047257%
什  72 0.1047257%
功  72 0.1047257%
齐  72 0.1047257%
六  71 0.1032712%
从  70 0.1018167%
轻  69 0.1003622%
四  69 0.1003622%
反  68 0.09890765%
位  67 0.09745312%
茶  67 0.09745312%
其  66 0.0959986%
二  66 0.0959986%
－  66 0.0959986%
像  64 0.09308956%
似  64 0.09308956%
目  64 0.09308956%
顿  64 0.09308956%
流  64 0.09308956%
李  64 0.09308956%
接  63 0.09163503%
至  63 0.09163503%
重  63 0.09163503%
间  63 0.09163503%
最  61 0.08872598%
算  61 0.08872598%
于  61 0.08872598%
所  60 0.08727146%
许  59 0.08581693%
方  59 0.08581693%
五  59 0.08581693%
慕  59 0.08581693%
何  59 0.08581693%
倒  59 0.08581693%
行  58 0.08436241%
向  58 0.08436241%
现  58 0.08436241%
姐  58 0.08436241%
难  57 0.08290789%
进  57 0.08290789%
住  57 0.08290789%
