，  3950 5.697472%
的  1861 2.684302%
  1758 2.535735%

  1758 2.535735%
了  1141 1.645776%
是  1018 1.468361%
。  1015 1.464034%
一  1011 1.458264%
我  979 1.412107%
不  968 1.396241%
人  651 0.939001%
“  631 0.910153%
”  596 0.8596691%
大  525 0.7572589%
来  520 0.7500468%
有  509 0.7341805%
他  491 0.7082173%
在  453 0.6534062%
上  417 0.6014799%
这  402 0.5798439%
就  400 0.5769591%
道  372 0.536572%
子  363 0.5235904%
个  352 0.507724%
可  351 0.5062816%
！  316 0.4557977%
说  304 0.4384889%
下  299 0.4312769%
也  298 0.4298345%
然  282 0.4067562%
得  274 0.395217%
心  268 0.3865626%
？  268 0.3865626%
那  265 0.3822354%
过  262 0.3779082%
出  259 0.3735811%
你  253 0.3649267%
到  247 0.3562723%
蒋  237 0.3418483%
没  231 0.3331939%
起  226 0.3259819%
她  224 0.3230971%
家  223 0.3216547%
和  218 0.3144427%
好  212 0.3057883%
之  210 0.3029035%
都  208 0.3000188%
地  202 0.2913644%
要  200 0.2884796%
而  198 0.2855948%
却  197 0.2841524%
想  194 0.2798252%
天  194 0.2798252%
能  192 0.2769404%
自  190 0.2740556%
中  188 0.2711708%
还  184 0.2654012%
看  184 0.2654012%
为  183 0.2639588%
里  180 0.2596316%
去  175 0.2524196%
事  175 0.2524196%
眼  175 0.2524196%
头  175 0.2524196%
只  170 0.2452076%
对  168 0.2423228%
么  168 0.2423228%
…  168 0.2423228%
儿  165 0.2379956%
老  164 0.2365533%
宁  164 0.2365533%
两  163 0.2351108%
身  161 0.2322261%
见  161 0.2322261%
三  155 0.2235717%
时  154 0.2221293%
皇  150 0.2163597%
迟  148 0.2134749%
相  147 0.2120325%
小  146 0.2105901%
：  139 0.2004933%
馨  137 0.1976085%
才  137 0.1976085%
唐  136 0.1961661%
笑  135 0.1947237%
同  131 0.1889541%
手  129 0.1860693%
已  129 0.1860693%
知  128 0.1846269%
女  126 0.1817421%
会  126 0.1817421%
着  125 0.1802997%
几  124 0.1788573%
京  123 0.1774149%
动  123 0.1774149%
生  123 0.1774149%
把  121 0.1745301%
少  120 0.1730877%
情  119 0.1716453%
意  119 0.1716453%
门  118 0.1702029%
经  116 0.1673182%
以  115 0.1658757%
如  115 0.1658757%
真  114 0.1644334%
┅  114 0.1644334%
多  113 0.162991%
无  111 0.1601062%
当  111 0.1601062%
口  110 0.1586638%
又  109 0.1572214%
让  108 0.155779%
解  108 0.155779%
雨  105 0.1514518%
面  101 0.1456822%
话  101 0.1456822%
明  100 0.1442398%
正  99 0.1427974%
公  97 0.1399126%
城  96 0.1384702%
与  96 0.1384702%
著  94 0.1355854%
声  94 0.1355854%
虽  94 0.1355854%
用  94 0.1355854%
听  93 0.134143%
本  93 0.134143%
样  92 0.1327006%
点  91 0.1312582%
后  91 0.1312582%
、  89 0.1283734%
江  89 0.1283734%
十  88 0.126931%
们  87 0.1254886%
进  87 0.1254886%
∶  86 0.1240462%
实  85 0.1226038%
年  85 0.1226038%
此  85 0.1226038%
别  84 0.1211614%
己  84 0.1211614%
风  84 0.1211614%
气  84 0.1211614%
成  83 0.119719%
打  83 0.119719%
何  82 0.1182766%
倒  80 0.1153918%
重  80 0.1153918%
像  80 0.1153918%
被  80 0.1153918%
前  79 0.1139494%
很  79 0.1139494%
些  79 0.1139494%
名  79 0.1139494%
姐  78 0.112507%
胡  78 0.112507%
什  78 0.112507%
开  77 0.1110646%
白  77 0.1110646%
发  77 0.1110646%
哪  77 0.1110646%
算  77 0.1110646%
再  77 0.1110646%
哥  77 0.1110646%
先  77 0.1110646%
回  76 0.1096222%
死  76 0.1096222%
行  75 0.1081798%
方  75 0.1081798%
便  75 0.1081798%
师  75 0.1081798%
问  74 0.1067374%
给  73 0.105295%
吧  73 0.105295%
其  70 0.1009678%
主  70 0.1009678%
快  69 0.09952545%
做  68 0.09808306%
竟  68 0.09808306%
似  67 0.09664065%
官  67 0.09664065%
啊  65 0.09375586%
李  65 0.09375586%
力  65 0.09375586%
魏  65 0.09375586%
日  64 0.09231346%
光  64 0.09231346%
最  64 0.09231346%
脸  63 0.09087107%
等  63 0.09087107%
夫  62 0.08942866%
暗  61 0.08798627%
怕  61 0.08798627%
部  60 0.08654387%
所  60 0.08654387%
言  60 0.08654387%
湖  60 0.08654387%
从  59 0.08510147%
间  58 0.08365908%
分  58 0.08365908%
宋  58 0.08365908%
高  58 0.08365908%
连  58 0.08365908%
剑  58 0.08365908%
马  57 0.08221668%
觉  57 0.08221668%
目  57 0.08221668%
走  57 0.08221668%
兰  57 0.08221668%
刑  56 0.08077428%
喜  56 0.08077428%
乎  55 0.07933188%
容  55 0.07933188%
外  55 0.07933188%
东  54 0.07788949%
府  54 0.07788949%
沈  54 0.07788949%
难  54 0.07788949%
柔  53 0.07644708%
郭  53 0.07644708%
宝  53 0.07644708%
轻  53 0.07644708%
妳  53 0.07644708%
望  52 0.07500469%
该  52 0.07500469%
至  52 0.07500469%
月  52 0.07500469%
王  51 0.07356229%
直  51 0.07356229%
现  51 0.07356229%
太  50 0.07211989%
丫  50 0.07211989%
理  50 0.07211989%
因  50 0.07211989%
花  50 0.07211989%
怎  50 0.07211989%
果  50 0.07211989%
法  50 0.07211989%
隐  49 0.0706775%
五  49 0.0706775%
份  49 0.0706775%
色  49 0.0706775%
