，  3352 4.711174%
的  2624 3.687983%
  2136 3.002108%

  2136 3.002108%
我  1287 1.808855%
了  1267 1.780745%
一  1204 1.6922%
。  1066 1.498243%
是  1041 1.463106%
不  859 1.207309%
“  651 0.9149684%
”  651 0.9149684%
来  548 0.7702038%
在  542 0.7617709%
有  540 0.7589599%
人  517 0.7266338%
子  505 0.7097681%
上  444 0.6240337%
道  427 0.6001406%
她  422 0.5931131%
这  376 0.528461%
那  356 0.5003514%
个  353 0.4961349%
出  352 0.4947295%
？  334 0.4694308%
看  329 0.4624034%
大  323 0.4539705%
就  318 0.4469431%
过  315 0.4427266%
娘  315 0.4427266%
著  313 0.4399157%
里  308 0.4328883%
无  290 0.4075896%
然  287 0.4033732%
也  271 0.3808855%
和  258 0.3626142%
十  254 0.3569923%
二  248 0.3485594%
到  244 0.3429375%
心  235 0.3302881%
连  235 0.3302881%
没  234 0.3288826%
下  230 0.3232607%
麽  230 0.3232607%
身  215 0.3021785%
眼  215 0.3021785%
他  213 0.2993675%
中  210 0.2951511%
湖  208 0.2923401%
可  206 0.2895292%
便  205 0.2881237%
小  197 0.2768798%
起  197 0.2768798%
而  196 0.2754743%
头  196 0.2754743%
∶  194 0.2726634%
还  193 0.2712579%
！  192 0.2698524%
暇  191 0.268447%
去  190 0.2670415%
江  189 0.265636%
得  187 0.262825%
环  187 0.262825%
手  186 0.2614195%
些  184 0.2586086%
水  179 0.2515812%
女  178 0.2501757%
好  174 0.2445538%
声  174 0.2445538%
只  172 0.2417428%
说  172 0.2417428%
天  169 0.2375264%
想  168 0.2361209%
门  165 0.2319044%
坞  159 0.2234715%
光  157 0.2206606%
高  157 0.2206606%
六  156 0.2192551%
时  156 0.2192551%
脸  152 0.2136332%
笑  151 0.2122277%
已  150 0.2108222%
都  150 0.2108222%
知  149 0.2094167%
要  148 0.2080112%
对  146 0.2052003%
两  144 0.2023893%
却  140 0.1967674%
让  135 0.18974%
把  135 0.18974%
并  135 0.18974%
会  134 0.1883345%
多  130 0.1827126%
真  129 0.1813071%
经  127 0.1784961%
样  127 0.1784961%
船  127 0.1784961%
为  124 0.1742797%
意  120 0.1686578%
能  120 0.1686578%
正  117 0.1644413%
你  117 0.1644413%
楼  115 0.1616304%
魔  115 0.1616304%
三  114 0.1602249%
话  114 0.1602249%
之  113 0.1588194%
玉  113 0.1588194%
们  113 0.1588194%
後  111 0.1560084%
动  111 0.1560084%
功  108 0.151792%
烟  108 0.151792%
才  105 0.1475755%
齐  105 0.1475755%
如  104 0.1461701%
自  103 0.1447646%
盟  103 0.1447646%
珑  101 0.1419536%
力  101 0.1419536%
几  101 0.1419536%
紫  99 0.1391427%
面  98 0.1377372%
像  98 0.1377372%
什  97 0.1363317%
主  96 0.1349262%
又  96 0.1349262%
、  96 0.1349262%
听  95 0.1335207%
竟  95 0.1335207%
前  94 0.1321152%
发  94 0.1321152%
阁  94 0.1321152%
进  93 0.1307098%
奶  91 0.1278988%
吧  91 0.1278988%
柔  91 0.1278988%
玲  90 0.1264933%
┅  90 0.1264933%
呀  90 0.1264933%
快  90 0.1264933%
似  89 0.1250878%
很  88 0.1236824%
气  87 0.1222769%
地  87 0.1222769%
家  87 0.1222769%
太  86 0.1208714%
少  86 0.1208714%
吗  86 0.1208714%
乎  86 0.1208714%
从  85 0.1194659%
口  85 0.1194659%
名  84 0.1180604%
明  83 0.116655%
现  83 0.116655%
实  82 0.1152495%
成  82 0.1152495%
色  82 0.1152495%
开  81 0.113844%
虽  81 0.113844%
间  81 0.113844%
儿  80 0.1124385%
萧  80 0.1124385%
潇  80 0.1124385%
情  80 0.1124385%
回  79 0.111033%
秦  78 0.1096275%
倒  77 0.1082221%
法  77 0.1082221%
生  77 0.1082221%
怎  77 0.1082221%
派  76 0.1068166%
望  75 0.1054111%
爷  74 0.1040056%
轻  74 0.1040056%
白  74 0.1040056%
被  73 0.1026001%
隐  72 0.1011947%
它  72 0.1011947%
以  71 0.09978918%
住  71 0.09978918%
死  71 0.09978918%
边  70 0.09838369%
变  69 0.09697822%
候  69 0.09697822%
满  68 0.09557273%
武  68 0.09557273%
老  68 0.09557273%
祖  68 0.09557273%
刀  68 0.09557273%
打  67 0.09416725%
分  67 0.09416725%
陈  67 0.09416725%
见  66 0.09276177%
四  66 0.09276177%
向  66 0.09276177%
魏  65 0.09135629%
方  64 0.08995081%
梅  64 0.08995081%
行  63 0.08854533%
剑  63 0.08854533%
礼  63 0.08854533%
给  62 0.08713984%
丹  62 0.08713984%
当  61 0.08573437%
转  61 0.08573437%
突  61 0.08573437%
目  61 0.08573437%
己  61 0.08573437%
相  60 0.08432888%
容  60 0.08432888%
春  60 0.08432888%
牡  60 0.08432888%
事  59 0.0829234%
再  59 0.0829234%
双  59 0.0829234%
渐  58 0.08151792%
因  57 0.08011243%
风  57 0.08011243%
惊  57 0.08011243%
观  56 0.07870696%
清  56 0.07870696%
该  55 0.07730147%
夫  55 0.07730147%
问  55 0.07730147%
尹  55 0.07730147%
算  54 0.07589599%
其  54 0.07589599%
同  54 0.07589599%
露  53 0.07449051%
丝  52 0.07308503%
放  52 0.07308503%
王  52 0.07308503%
珠  51 0.07167955%
般  51 0.07167955%
外  51 0.07167955%
显  50 0.07027407%
呢  49 0.06886858%
点  49 0.06886858%
传  49 0.06886858%
此  49 0.06886858%
叫  49 0.06886858%
处  49 0.06886858%
怕  48 0.06746311%
比  48 0.06746311%
衣  48 0.06746311%
汉  48 0.06746311%
月  47 0.06605762%
杀  47 0.06605762%
年  47 0.06605762%
种  47 0.06605762%
远  47 0.06605762%
等  47 0.06605762%
神  47 0.06605762%
绝  46 0.06465214%
李  46 0.06465214%
院  46 0.06465214%
庄  46 0.06465214%
应  45 0.06324666%
半  45 0.06324666%
全  45 0.06324666%
姐  44 0.06184118%
定  44 0.06184118%
更  44 0.06184118%
师  44 0.06184118%
落  44 0.06184118%
战  44 0.06184118%
客  44 0.06184118%
走  44 0.06184118%
阵  44 0.06184118%
音  44 0.06184118%
公  43 0.0604357%
入  43 0.0604357%
怀  43 0.0604357%
东  43 0.0604357%
越  43 0.0604357%
将  43 0.0604357%
最  43 0.0604357%
屋  43 0.0604357%
与  42 0.05903022%
若  42 0.05903022%
本  42 0.05903022%
用  42 0.05903022%
重  42 0.05903022%
隋  42 0.05903022%
句  41 0.05762473%
果  40 0.05621925%
所  40 0.05621925%
离  39 0.05481377%
原  38 0.05340829%
闪  38 0.05340829%
模  38 0.05340829%
花  38 0.05340829%
妹  37 0.05200281%
恐  37 0.05200281%
难  37 0.05200281%
消  37 0.05200281%
觉  37 0.05200281%
空  37 0.05200281%
孙  36 0.05059733%
疑  36 0.05059733%
解  36 0.05059733%
於  35 0.04919185%
日  35 0.04919185%
异  35 0.04919185%
苏  35 0.04919185%
许  35 0.04919185%
早  35 0.04919185%
角  35 0.04919185%
山  35 0.04919185%
作  35 0.04919185%
五  34 0.04778637%
万  34 0.04778637%
西  34 0.04778637%
往  34 0.04778637%
镇  34 0.04778637%
奇  34 0.04778637%
击  34 0.04778637%
脚  34 0.04778637%
安  34 0.04778637%
宗  34 0.04778637%
思  33 0.04638088%
条  33 0.04638088%
失  33 0.04638088%
怪  33 0.04638088%
别  33 0.04638088%
暗  33 0.04638088%
张  32 0.0449754%
旁  32 0.0449754%
理  32 0.0449754%
嘴  32 0.0449754%
香  32 0.0449754%
夜  32 0.0449754%
姑  32 0.0449754%
息  32 0.0449754%
林  32 0.0449754%
关  32 0.0449754%
细  31 0.04356992%
娇  31 0.04356992%
七  31 0.04356992%
跟  31 0.04356992%
吃  31 0.04356992%
言  31 0.04356992%
换  31 0.04356992%
哥  31 0.04356992%
带  30 0.04216444%
总  30 0.04216444%
深  30 0.04216444%
体  30 0.04216444%
近  30 0.04216444%
接  30 0.04216444%
感  30 0.04216444%
断  30 0.04216444%
刻  30 0.04216444%
流  30 0.04216444%
焦  30 0.04216444%
帮  29 0.04075896%
；  29 0.04075896%
场  29 0.04075896%
由  29 0.04075896%
何  29 0.04075896%
飞  29 0.04075896%
火  29 0.04075896%
服  29 0.04075896%
加  29 0.04075896%
招  29 0.04075896%
合  29 0.04075896%
直  29 0.04075896%
红  28 0.03935348%
至  28 0.03935348%
脑  28 0.03935348%
路  28 0.03935348%
游  28 0.03935348%
命  28 0.03935348%
份  28 0.03935348%
散  28 0.03935348%
黑  28 0.03935348%
葫  28 0.03935348%
芦  28 0.03935348%
留  27 0.037948%
淡  27 0.037948%
做  27 0.037948%
活  27 0.037948%
母  27 0.037948%
随  27 0.037948%
摇  27 0.037948%
八  27 0.037948%
长  27 0.037948%
第  26 0.03654252%
影  26 0.03654252%
宝  26 0.03654252%
靠  26 0.03654252%
性  26 0.03654252%
渔  26 0.03654252%
金  26 0.03654252%
马  26 0.03654252%
层  26 0.03654252%
您  26 0.03654252%
练  25 0.03513703%
平  25 0.03513703%
颇  25 0.03513703%
足  25 0.03513703%
讶  25 0.03513703%
反  25 0.03513703%
股  25 0.03513703%
完  25 0.03513703%
今  25 0.03513703%
栗  25 0.03513703%
仙  25 0.03513703%
片  25 0.03513703%
