，  3845 5.742406%
的  1877 2.80325%
  1486 2.219302%

  1486 2.219302%
我  1122 1.675677%
了  1103 1.647301%
一  1097 1.63834%
是  947 1.414319%
不  937 1.399385%
。  802 1.197766%
人  557 0.8318648%
他  531 0.7930344%
”  521 0.7780997%
“  513 0.7661519%
有  481 0.7183608%
来  474 0.7079064%
大  447 0.6675827%
在  388 0.5794677%
个  371 0.5540787%
这  369 0.5510917%
！  349 0.5212222%
下  345 0.5152484%
子  323 0.482392%
那  316 0.4719376%
然  314 0.4689507%
道  312 0.4659638%
出  308 0.4599898%
就  303 0.4525225%
可  298 0.4450551%
上  295 0.4405747%
江  283 0.422653%
心  282 0.4211595%
你  279 0.4166791%
地  278 0.4151856%
到  252 0.3763553%
得  250 0.3733684%
而  249 0.3718749%
？  242 0.3614206%
容  238 0.3554467%
和  233 0.3479793%
也  219 0.3270707%
着  219 0.3270707%
中  215 0.3210968%
没  215 0.3210968%
说  208 0.3106425%
过  208 0.3106425%
：  204 0.3046686%
手  201 0.3001882%
慕  200 0.2986947%
身  198 0.2957078%
自  190 0.28376%
都  184 0.2747991%
要  183 0.2733057%
么  182 0.2718122%
头  177 0.2643448%
能  171 0.255384%
之  170 0.2538905%
只  169 0.252397%
帮  169 0.252397%
起  167 0.2494101%
…  166 0.2479166%
家  165 0.2464231%
还  163 0.2434362%
会  162 0.2419427%
为  159 0.2374623%
已  158 0.2359688%
时  157 0.2344753%
好  156 0.2329819%
光  154 0.2299949%
千  154 0.2299949%
想  153 0.2285015%
两  152 0.227008%
去  151 0.2255145%
乐  148 0.2210341%
里  147 0.2195406%
力  146 0.2180471%
却  144 0.2150602%
对  143 0.2135667%
湖  142 0.2120732%
眼  141 0.2105798%
几  141 0.2105798%
秋  141 0.2105798%
让  136 0.2031124%
意  135 0.2016189%
知  135 0.2016189%
天  134 0.2001255%
盛  134 0.2001255%
事  133 0.198632%
们  133 0.198632%
茂  133 0.198632%
门  132 0.1971385%
情  131 0.195645%
后  131 0.195645%
声  128 0.1911646%
宗  126 0.1881777%
话  125 0.1866842%
动  125 0.1866842%
多  124 0.1851907%
长  123 0.1836972%
把  122 0.1822038%
无  121 0.1807103%
又  119 0.1777233%
小  118 0.1762299%
如  116 0.1732429%
看  114 0.170256%
才  113 0.1687625%
明  112 0.167269%
设  112 0.167269%
见  110 0.1642821%
经  109 0.1627886%
刀  109 0.1627886%
些  107 0.1598017%
槽  107 0.1598017%
便  106 0.1583082%
