，  807 4.863497%
的  578 3.483397%
  496 2.989212%

  496 2.989212%
我  404 2.434762%
。  328 1.976737%
了  280 1.687459%
一  223 1.34394%
是  185 1.114928%
“  177 1.066715%
”  177 1.066715%
不  174 1.048635%
在  161 0.9702887%
有  119 0.7171699%
到  115 0.6930633%
来  108 0.6508769%
人  106 0.6388236%
说  92 0.5544507%
她  88 0.5303441%
上  85 0.5122642%
个  84 0.5062376%
这  84 0.5062376%
好  84 0.5062376%
就  82 0.4941843%
要  77 0.4640511%
也  69 0.415838%
他  69 0.415838%
着  68 0.4098114%
子  68 0.4098114%
道  67 0.4037847%
大  67 0.4037847%
你  67 0.4037847%
能  66 0.3977581%
去  65 0.3917314%
？  63 0.3796782%
想  63 0.3796782%
天  61 0.3676249%
下  60 0.3615983%
看  58 0.349545%
知  58 0.349545%
中  58 0.349545%
时  57 0.3435183%
以  57 0.3435183%
可  55 0.3314651%
后  54 0.3254384%
没  53 0.3194118%
出  53 0.3194118%
只  52 0.3133852%
之  52 0.3133852%
那  50 0.3013319%
心  50 0.3013319%
会  50 0.3013319%
么  49 0.2953053%
为  48 0.2892786%
还  47 0.283252%
事  47 0.283252%
身  45 0.2711987%
女  45 0.2711987%
和  44 0.2651721%
里  43 0.2591454%
意  42 0.2531188%
白  42 0.2531188%
现  41 0.2470921%
动  40 0.2410655%
回  40 0.2410655%
过  39 0.2350389%
所  39 0.2350389%
秀  39 0.2350389%
当  38 0.2290122%
都  38 0.2290122%
而  37 0.2229856%
得  37 0.2229856%
嘉  36 0.216959%
！  35 0.2109323%
们  35 0.2109323%
多  35 0.2109323%
*  35 0.2109323%
靖  35 0.2109323%
起  34 0.2049057%
如  34 0.2049057%
家  34 0.2049057%
：  34 0.2049057%
定  33 0.198879%
已  32 0.1928524%
见  31 0.1868258%
然  31 0.1868258%
张  31 0.1868258%
十  30 0.1807991%
很  30 0.1807991%
将  29 0.1747725%
对  29 0.1747725%
真  29 0.1747725%
于  28 0.1687459%
