，  4109 5.792545%
  2072 2.920943%

  2072 2.920943%
的  1558 2.196346%
一  1241 1.749464%
我  1199 1.690256%
了  1172 1.652194%
不  975 1.374478%
是  940 1.325138%
。  852 1.201083%
“  808 1.139055%
”  797 1.123548%
道  543 0.7654787%
你  521 0.7344649%
来  519 0.7316454%
！  449 0.6329649%
这  445 0.627326%
人  436 0.6146386%
就  425 0.5991316%
子  420 0.592083%
上  406 0.5723469%
那  404 0.5695274%
她  403 0.5681177%
在  392 0.5526108%
有  384 0.541333%
？  372 0.5244164%
心  360 0.5074997%
大  352 0.496222%
：  351 0.4948122%
个  343 0.4835345%
然  333 0.4694372%
地  330 0.4652081%
下  314 0.4426525%
他  307 0.4327845%
着  303 0.4271456%
可  290 0.4088192%
么  287 0.40459%
说  273 0.384854%
出  260 0.3665276%
里  255 0.359479%
起  255 0.359479%
得  252 0.3552498%
头  249 0.3510206%
却  232 0.3270554%
宁  229 0.3228262%
过  228 0.3214165%
…  226 0.318597%
到  225 0.3171873%
身  222 0.3129582%
去  221 0.3115484%
少  218 0.3073193%
看  217 0.3059095%
女  216 0.3044998%
眼  215 0.3030901%
也  215 0.3030901%
馨  214 0.3016804%
自  209 0.2946318%
没  194 0.273486%
都  192 0.2706665%
好  192 0.2706665%
儿  186 0.2622082%
而  186 0.2622082%
想  183 0.257979%
家  182 0.2565693%
要  181 0.2551596%
中  180 0.2537498%
之  179 0.2523401%
声  179 0.2523401%
意  175 0.2467013%
只  174 0.2452915%
两  170 0.2396526%
笑  166 0.2340138%
知  160 0.2255554%
见  158 0.222736%
时  154 0.2170971%
还  150 0.2114582%
和  149 0.2100485%
生  147 0.207229%
小  145 0.2044096%
老  145 0.2044096%
白  144 0.2029999%
手  143 0.2015902%
天  141 0.1987707%
为  137 0.1931318%
听  137 0.1931318%
柔  135 0.1903124%
竟  134 0.1889027%
哥  129 0.1818541%
才  129 0.1818541%
师  126 0.1776249%
又  125 0.1762152%
把  123 0.1733957%
无  122 0.171986%
话  121 0.1705763%
对  119 0.1677569%
已  119 0.1677569%
前  117 0.1649374%
气  116 0.1635277%
发  116 0.1635277%
真  116 0.1635277%
能  116 0.1635277%
几  115 0.162118%
动  113 0.1592985%
面  113 0.1592985%
事  112 0.1578888%
住  111 0.1564791%
己  111 0.1564791%
后  110 0.1550694%
多  110 0.1550694%
会  110 0.1550694%
同  109 0.1536596%
魏  107 0.1508402%
如  106 0.1494305%
