，  3934 5.986457%
的  1927 2.932359%
  1154 1.756068%

  1154 1.756068%
是  1031 1.568896%
我  990 1.506505%
了  982 1.494332%
不  958 1.45781%
一  949 1.444115%
。  938 1.427376%
人  622 0.9465114%
有  571 0.8689036%
大  435 0.6619493%
他  410 0.6239063%
“  402 0.6117325%
”  400 0.608689%
来  395 0.6010804%
在  376 0.5721677%
这  369 0.5615156%
上  349 0.5310812%
就  338 0.5143422%
然  320 0.4869512%
可  319 0.4854295%
子  295 0.4489082%
心  289 0.4397778%
和  288 0.4382561%
个  281 0.427604%
而  273 0.4154303%
道  265 0.4032565%
她  261 0.3971696%
也  259 0.3941261%
之  257 0.3910827%
到  254 0.3865175%
那  247 0.3758655%
下  246 0.3743438%
说  244 0.3713003%
！  242 0.3682569%
得  240 0.3652134%
出  237 0.3606482%
会  237 0.3606482%
为  223 0.3393441%
你  220 0.334779%
无  216 0.3286921%
江  216 0.3286921%
能  213 0.3241269%
对  211 0.3210835%
过  207 0.3149966%
湖  205 0.3119531%
自  203 0.3089097%
中  199 0.3028228%
天  191 0.290649%
都  188 0.2860838%
着  187 0.2845621%
当  186 0.2830404%
要  186 0.2830404%
地  184 0.279997%
还  180 0.2739101%
如  178 0.2708666%
？  176 0.2678232%
时  176 0.2678232%
没  175 0.2663015%
门  173 0.263258%
光  172 0.2617363%
.  172 0.2617363%
家  171 0.2602146%
练  168 0.2556494%
以  164 0.2495625%
事  163 0.2480408%
已  159 0.2419539%
想  157 0.2389105%
里  154 0.2343453%
情  153 0.2328236%
身  148 0.2252149%
么  148 0.2252149%
起  147 0.2236932%
多  146 0.2221715%
高  143 0.2176063%
十  140 0.2130412%
儿  138 0.2099977%
、  138 0.2099977%
真  137 0.208476%
让  135 0.2054325%
知  134 0.2039108%
们  133 0.2023891%
后  132 0.2008674%
蒋  130 0.1978239%
好  129 0.1963022%
小  129 0.1963022%
力  126 0.191737%
容  124 0.1886936%
意  124 0.1886936%
女  124 0.1886936%
于  122 0.1856502%
实  121 0.1841284%
看  121 0.1841284%
成  121 0.1841284%
明  120 0.1826067%
武  120 0.1826067%
迟  118 0.1795633%
眼  118 0.1795633%
手  115 0.1749981%
去  115 0.1749981%
