，  3221 4.607352%
的  2325 3.325705%
  1688 2.414533%

  1688 2.414533%
了  1224 1.750823%
我  1127 1.612073%
是  1119 1.600629%
一  1076 1.539122%
不  808 1.155772%
。  799 1.142898%
”  582 0.8324989%
“  573 0.8196253%
在  552 0.7895866%
人  551 0.7881562%
大  479 0.6851667%
有  474 0.6780146%
这  471 0.6737233%
来  467 0.6680017%
！  448 0.6408239%
道  402 0.575025%
子  389 0.5564297%
上  380 0.543556%
个  369 0.5278215%
就  366 0.5235302%
他  361 0.5163782%
江  358 0.512087%
那  334 0.4777571%
出  303 0.4334144%
？  296 0.4234015%
也  284 0.4062366%
着  284 0.4062366%
下  282 0.4033758%
中  275 0.3933629%
可  271 0.3876413%
她  271 0.3876413%
地  267 0.3819196%
么  261 0.3733371%
然  254 0.3633243%
到  249 0.3561722%
心  249 0.3561722%
：  231 0.3304248%
只  230 0.3289944%
而  227 0.3247032%
说  222 0.3175511%
过  219 0.3132599%
得  219 0.3132599%
和  216 0.3089687%
都  213 0.3046775%
手  208 0.2975254%
门  205 0.2932342%
湖  205 0.2932342%
家  205 0.2932342%
之  203 0.2903733%
里  201 0.2875125%
起  198 0.2832213%
你  198 0.2832213%
李  194 0.2774996%
时  193 0.2760692%
没  191 0.2732084%
盟  191 0.2732084%
马  191 0.2732084%
后  190 0.271778%
去  185 0.2646259%
会  184 0.2631955%
还  184 0.2631955%
十  177 0.2531826%
已  177 0.2531826%
天  176 0.2517523%
无  171 0.2446002%
…  170 0.2431698%
看  167 0.2388786%
小  167 0.2388786%
动  162 0.2317265%
、  161 0.2302961%
三  161 0.2302961%
身  161 0.2302961%
要  160 0.2288657%
把  160 0.2288657%
容  159 0.2274353%
好  156 0.223144%
经  155 0.2217136%
山  154 0.2202832%
自  153 0.2188528%
眼  153 0.2188528%
对  150 0.2145616%
少  146 0.2088399%
竟  143 0.2045487%
却  142 0.2031183%
多  142 0.2031183%
能  140 0.2002575%
意  139 0.1988271%
真  139 0.1988271%
两  138 0.1973967%
头  138 0.1973967%
些  137 0.1959662%
为  137 0.1959662%
想  135 0.1931054%
唐  134 0.191675%
几  130 0.1859534%
话  130 0.1859534%
老  129 0.184523%
师  126 0.1802317%
面  125 0.1788013%
吧  124 0.1773709%
们  122 0.1745101%
连  122 0.1745101%
成  122 0.1745101%
二  120 0.1716493%
武  119 0.1702189%
声  119 0.1702189%
知  118 0.1687884%
生  117 0.167358%
实  117 0.167358%
呢  116 0.1659276%
慕  116 0.1659276%
让  116 0.1659276%
又  114 0.1630668%
样  107 0.1530539%
长  105 0.1501931%
许  105 0.1501931%
弟  105 0.1501931%
发  104 0.1487627%
如  104 0.1487627%
正  102 0.1459019%
力  102 0.1459019%
同  101 0.1444715%
什  101 0.1444715%
被  101 0.1444715%
便  101 0.1444715%
岐  100 0.1430411%
目  99 0.1416106%
光  98 0.1401802%
解  98 0.1401802%
听  98 0.1401802%
似  97 0.1387498%
四  97 0.1387498%
宝  97 0.1387498%
司  97 0.1387498%
分  96 0.1373194%
笑  96 0.1373194%
前  95 0.135889%
儿  95 0.135889%
纔  94 0.1344586%
见  94 0.1344586%
间  94 0.1344586%
剑  93 0.1330282%
当  91 0.1301674%
藏  91 0.1301674%
开  91 0.1301674%
乎  89 0.1273065%
空  89 0.1273065%
从  88 0.1258761%
该  88 0.1258761%
情  87 0.1244457%
现  86 0.1230153%
很  85 0.1215849%
齐  85 0.1215849%
瑕  83 0.1187241%
魏  83 0.1187241%
边  83 0.1187241%
向  82 0.1172937%
事  82 0.1172937%
己  81 0.1158633%
以  81 0.1158633%
快  81 0.1158633%
行  80 0.1144328%
苏  80 0.1144328%
并  79 0.1130024%
给  79 0.1130024%
气  79 0.1130024%
或  78 0.111572%
名  78 0.111572%
呀  77 0.1101416%
明  76 0.1087112%
原  76 0.1087112%
打  76 0.1087112%
高  75 0.1072808%
本  75 0.1072808%
州  75 0.1072808%
柔  75 0.1072808%
吗  75 0.1072808%
此  75 0.1072808%
法  75 0.1072808%
方  74 0.1058504%
雨  74 0.1058504%
兄  73 0.10442%
虽  72 0.1029896%
派  70 0.1001287%
功  70 0.1001287%
女  70 0.1001287%
脸  70 0.1001287%
问  70 0.1001287%
走  70 0.1001287%
点  69 0.09869833%
难  68 0.09726792%
回  68 0.09726792%
望  68 0.09726792%
娘  68 0.09726792%
再  67 0.0958375%
相  67 0.0958375%
若  66 0.0944071%
候  66 0.0944071%
最  66 0.0944071%
刀  66 0.0944071%
年  65 0.09297668%
世  65 0.09297668%
口  65 0.09297668%
隐  64 0.09154627%
白  64 0.09154627%
用  63 0.09011586%
王  63 0.09011586%
楼  62 0.08868545%
死  62 0.08868545%
与  61 0.08725505%
战  61 0.08725505%
进  61 0.08725505%
玉  61 0.08725505%
做  61 0.08725505%
思  60 0.08582463%
轻  60 0.08582463%
神  60 0.08582463%
主  60 0.08582463%
珠  60 0.08582463%
其  59 0.08439422%
倒  58 0.08296381%
色  58 0.08296381%
暗  58 0.08296381%
妳  58 0.08296381%
怎  58 0.08296381%
外  58 0.08296381%
它  57 0.0815334%
南  57 0.0815334%
别  56 0.08010299%
弓  56 0.08010299%
像  54 0.07724217%
算  53 0.07581176%
放  53 0.07581176%
七  52 0.07438134%
应  52 0.07438134%
院  52 0.07438134%
于  51 0.07295094%
月  51 0.07295094%
沉  51 0.07295094%
箭  51 0.07295094%
住  51 0.07295094%
何  50 0.07152053%
机  50 0.07152053%
落  50 0.07152053%
福  50 0.07152053%
变  49 0.07009012%
作  49 0.07009012%
刻  49 0.07009012%
接  48 0.06865971%
更  48 0.06865971%
水  48 0.06865971%
环  48 0.06865971%
怕  47 0.06722929%
场  47 0.06722929%
花  47 0.06722929%
六  47 0.06722929%
绝  46 0.06579889%
所  46 0.06579889%
惊  46 0.06579889%
比  46 0.06579889%
丝  46 0.06579889%
潇  46 0.06579889%
强  46 0.06579889%
临  46 0.06579889%
林  45 0.06436847%
重  45 0.06436847%
万  45 0.06436847%
五  45 0.06436847%
关  45 0.06436847%
萧  45 0.06436847%
满  45 0.06436847%
杀  45 0.06436847%
坞  45 0.06436847%
船  44 0.06293806%
张  44 0.06293806%
西  43 0.06150765%
百  43 0.06150765%
秦  42 0.06007724%
等  42 0.06007724%
怪  42 0.06007724%
合  42 0.06007724%
种  42 0.06007724%
全  42 0.06007724%
哥  42 0.06007724%
总  41 0.05864683%
父  40 0.05721642%
究  40 0.05721642%
跟  40 0.05721642%
顿  40 0.05721642%
果  40 0.05721642%
显  40 0.05721642%
众  40 0.05721642%
清  40 0.05721642%
定  40 0.05721642%
奇  39 0.05578601%
早  39 0.05578601%
先  39 0.05578601%
模  39 0.05578601%
亭  39 0.05578601%
孙  39 0.05578601%
随  39 0.05578601%
突  39 0.05578601%
识  39 0.05578601%
因  38 0.0543556%
日  38 0.0543556%
句  38 0.0543556%
理  38 0.0543556%
宋  38 0.0543556%
第  37 0.05292519%
立  37 0.05292519%
太  37 0.05292519%
玲  37 0.05292519%
直  37 0.05292519%
般  37 0.05292519%
路  37 0.05292519%
易  37 0.05292519%
字  36 0.05149478%
房  36 0.05149478%
风  35 0.05006437%
流  35 0.05006437%
处  35 0.05006437%
言  35 0.05006437%
东  35 0.05006437%
露  35 0.05006437%
局  35 0.05006437%
堂  35 0.05006437%
利  35 0.05006437%
公  34 0.04863396%
魔  34 0.04863396%
带  34 0.04863396%
感  34 0.04863396%
加  34 0.04863396%
击  34 0.04863396%
往  34 0.04863396%
转  34 0.04863396%
势  34 0.04863396%
半  34 0.04863396%
团  34 0.04863396%
位  34 0.04863396%
镖  34 0.04863396%
杨  34 0.04863396%
近  34 0.04863396%
铁  34 0.04863396%
入  34 0.04863396%
步  33 0.04720355%
恐  33 0.04720355%
细  33 0.04720355%
姐  33 0.04720355%
集  33 0.04720355%
引  33 0.04720355%
平  33 0.04720355%
卫  33 0.04720355%
安  33 0.04720355%
官  33 0.04720355%
银  33 0.04720355%
龙  32 0.04577314%
数  32 0.04577314%
阵  32 0.04577314%
觉  32 0.04577314%
将  32 0.04577314%
谁  32 0.04577314%
兵  32 0.04577314%
伯  32 0.04577314%
霞  32 0.04577314%
代  31 0.04434273%
新  31 0.04434273%
各  31 0.04434273%
离  31 0.04434273%
微  31 0.04434273%
飞  31 0.04434273%
留  31 0.04434273%
卖  31 0.04434273%
招  30 0.04291232%
信  30 0.04291232%
珑  30 0.04291232%
熠  30 0.04291232%
闪  30 0.04291232%
号  30 0.04291232%
亲  30 0.04291232%
黑  30 0.04291232%
喜  30 0.04291232%
叫  30 0.04291232%
赫  30 0.04291232%
屋  30 0.04291232%
镇  30 0.04291232%
越  29 0.0414819%
甚  29 0.0414819%
交  29 0.0414819%
啊  29 0.0414819%
萝  29 0.0414819%
妹  29 0.0414819%
呼  29 0.0414819%
帮  29 0.0414819%
由  29 0.0414819%
息  29 0.0414819%
美  29 0.0414819%
咱  29 0.0414819%
权  29 0.0414819%
影  28 0.04005149%
认  28 0.04005149%
历  28 0.04005149%
任  28 0.04005149%
背  28 0.04005149%
兴  28 0.04005149%
汉  28 0.04005149%
姑  28 0.04005149%
找  28 0.04005149%
干  28 0.04005149%
鲁  28 0.04005149%
器  28 0.04005149%
渐  28 0.04005149%
学  27 0.03862108%
异  27 0.03862108%
度  27 0.03862108%
番  27 0.03862108%
极  26 0.03719067%
晚  26 0.03719067%
低  26 0.03719067%
语  26 0.03719067%
疑  26 0.03719067%
切  26 0.03719067%
园  26 0.03719067%
举  26 0.03719067%
争  26 0.03719067%
舞  26 0.03719067%
制  26 0.03719067%
波  26 0.03719067%
吃  26 0.03719067%
墙  26 0.03719067%
车  26 0.03719067%
夫  25 0.03576026%
妙  25 0.03576026%
八  25 0.03576026%
反  25 0.03576026%
指  25 0.03576026%
次  25 0.03576026%
待  25 0.03576026%
罗  25 0.03576026%
队  25 0.03576026%
准  25 0.03576026%
缓  25 0.03576026%
表  25 0.03576026%
仙  25 0.03576026%
传  24 0.03432985%
杭  24 0.03432985%
周  24 0.03432985%
宫  24 0.03432985%
记  24 0.03432985%
内  24 0.03432985%
欢  24 0.03432985%
条  24 0.03432985%
远  24 0.03432985%
逃  24 0.03432985%
哪  24 0.03432985%
妈  24 0.03432985%
海  24 0.03432985%
持  23 0.03289944%
至  23 0.03289944%
斗  23 0.03289944%
另  23 0.03289944%
金  23 0.03289944%
千  23 0.03289944%
苦  23 0.03289944%
副  23 0.03289944%
客  23 0.03289944%
精  22 0.03146903%
即  22 0.03146903%
化  22 0.03146903%
群  22 0.03146903%
瑾  22 0.03146903%
性  22 0.03146903%
灭  22 0.03146903%
衣  22 0.03146903%
报  22 0.03146903%
射  22 0.03146903%
况  22 0.03146903%
角  22 0.03146903%
钱  22 0.03146903%
底  22 0.03146903%
短  22 0.03146903%
鸣  22 0.03146903%
；  21 0.03003862%
则  21 0.03003862%
旁  21 0.03003862%
体  21 0.03003862%
寻  21 0.03003862%
常  21 0.03003862%
北  21 0.03003862%
照  21 0.03003862%
朝  21 0.03003862%
刚  21 0.03003862%
份  21 0.03003862%
完  21 0.03003862%
注  21 0.03003862%
才  20 0.02860821%
扬  20 0.02860821%
赌  20 0.02860821%
结  20 0.02860821%
断  20 0.02860821%
调  20 0.02860821%
怀  20 0.02860821%
敌  20 0.02860821%
毕  20 0.02860821%
偷  20 0.02860821%
投  20 0.02860821%
挥  20 0.02860821%
文  20 0.02860821%
片  20 0.02860821%
计  20 0.02860821%
摸  20 0.02860821%
既  20 0.02860821%
批  20 0.02860821%
奶  20 0.02860821%
教  19 0.0271778%
观  19 0.0271778%
围  19 0.0271778%
排  19 0.0271778%
料  19 0.0271778%
使  19 0.0271778%
拉  19 0.0271778%
探  19 0.0271778%
顶  19 0.0271778%
护  19 0.0271778%
形  19 0.0271778%
件  19 0.0271778%
紧  19 0.0271778%
顺  19 0.0271778%
运  19 0.0271778%
宁  19 0.0271778%
确  19 0.0271778%
诩  19 0.0271778%
讲  18 0.02574739%
音  18 0.02574739%
失  18 0.02574739%
嘴  18 0.02574739%
特  18 0.02574739%
未  18 0.02574739%
部  18 0.02574739%
喊  18 0.02574739%
通  18 0.02574739%
霸  18 0.02574739%
冲  18 0.02574739%
足  18 0.02574739%
划  18 0.02574739%
深  18 0.02574739%
坐  18 0.02574739%
消  18 0.02574739%
服  18 0.02574739%
牌  18 0.02574739%
活  18 0.02574739%
壶  18 0.02574739%
急  18 0.02574739%
术  18 0.02574739%
仅  18 0.02574739%
厢  18 0.02574739%
每  17 0.02431698%
保  17 0.02431698%
久  17 0.02431698%
领  17 0.02431698%
者  17 0.02431698%
味  17 0.02431698%
论  17 0.02431698%
颇  17 0.02431698%
晓  17 0.02431698%
摇  17 0.02431698%
且  17 0.02431698%
始  17 0.02431698%
请  17 0.02431698%
喝  17 0.02431698%
夜  17 0.02431698%
红  17 0.02431698%
松  17 0.02431698%
破  17 0.02431698%
斩  17 0.02431698%
换  17 0.02431698%
提  17 0.02431698%
肯  17 0.02431698%
嘿  17 0.02431698%
礼  17 0.02431698%
素  17 0.02431698%
具  17 0.02431698%
拿  17 0.02431698%
酒  17 0.02431698%
朱  17 0.02431698%
雀  17 0.02431698%
毅  17 0.02431698%
今  16 0.02288657%
称  16 0.02288657%
非  16 0.02288657%
尹  16 0.02288657%
耳  16 0.02288657%
依  16 0.02288657%
旧  16 0.02288657%
毫  16 0.02288657%
偏  16 0.02288657%
讶  16 0.02288657%
春  16 0.02288657%
支  16 0.02288657%
脑  16 0.02288657%
跑  16 0.02288657%
乱  16 0.02288657%
收  16 0.02288657%
岸  16 0.02288657%
爷  16 0.02288657%
告  16 0.02288657%
拔  16 0.02288657%
树  16 0.02288657%
备  16 0.02288657%
顾  16 0.02288657%
量  16 0.02288657%
压  16 0.02288657%
羿  16 0.02288657%
敢  16 0.02288657%
双  16 0.02288657%
求  16 0.02288657%
假  16 0.02288657%
玩  16 0.02288657%
灵  16 0.02288657%
脱  16 0.02288657%
受  16 0.02288657%
鹰  16 0.02288657%
视  16 0.02288657%
根  16 0.02288657%
买  16 0.02288657%
追  16 0.02288657%
爪  16 0.02288657%
斋  16 0.02288657%
按  16 0.02288657%
祥  16 0.02288657%
管  16 0.02288657%
宗  15 0.02145616%
达  15 0.02145616%
推  15 0.02145616%
巧  15 0.02145616%
熟  15 0.02145616%
九  15 0.02145616%
石  15 0.02145616%
决  15 0.02145616%
迷  15 0.02145616%
伙  15 0.02145616%
奔  15 0.02145616%
命  15 0.02145616%
赵  15 0.02145616%
刃  15 0.02145616%
约  15 0.02145616%
单  15 0.02145616%
错  15 0.02145616%
攻  15 0.02145616%
淫  15 0.02145616%
续  15 0.02145616%
图  15 0.02145616%
块  15 0.02145616%
题  15 0.02145616%
物  15 0.02145616%
卿  15 0.02145616%
败  15 0.02145616%
城  15 0.02145616%
余  15 0.02145616%
藤  15 0.02145616%
章  14 0.02002575%
够  14 0.02002575%
密  14 0.02002575%
继  14 0.02002575%
停  14 0.02002575%
线  14 0.02002575%
索  14 0.02002575%
趣  14 0.02002575%
释  14 0.02002575%
惑  14 0.02002575%
青  14 0.02002575%
散  14 0.02002575%
犹  14 0.02002575%
源  14 0.02002575%
伸  14 0.02002575%
威  14 0.02002575%
醒  14 0.02002575%
试  14 0.02002575%
踪  14 0.02002575%
忙  14 0.02002575%
热  14 0.02002575%
秀  14 0.02002575%
翻  14 0.02002575%
吸  14 0.02002575%
弱  14 0.02002575%
霁  14 0.02002575%
葫  14 0.02002575%
芦  14 0.02002575%
独  13 0.01859534%
秘  13 0.01859534%
超  13 0.01859534%
佛  13 0.01859534%
眉  13 0.01859534%
响  13 0.01859534%
初  13 0.01859534%
胜  13 0.01859534%
虎  13 0.01859534%
掌  13 0.01859534%
肉  13 0.01859534%
靠  13 0.01859534%
猜  13 0.01859534%
站  13 0.01859534%
查  13 0.01859534%
士  13 0.01859534%
标  13 0.01859534%
血  13 0.01859534%
贼  13 0.01859534%
火  13 0.01859534%
差  13 0.01859534%
工  13 0.01859534%
私  13 0.01859534%
睡  13 0.01859534%
弄  13 0.01859534%
廷  13 0.01859534%
阳  12 0.01716493%
练  12 0.01716493%
寺  12 0.01716493%
造  12 0.01716493%
及  12 0.01716493%
象  12 0.01716493%
蓦  12 0.01716493%
鬼  12 0.01716493%
静  12 0.01716493%
遍  12 0.01716493%
故  12 0.01716493%
劲  12 0.01716493%
守  12 0.01716493%
愿  12 0.01716493%
禁  12 0.01716493%
秋  12 0.01716493%
掩  12 0.01716493%
尸  12 0.01716493%
仲  12 0.01716493%
速  12 0.01716493%
置  12 0.01716493%
刺  12 0.01716493%
示  12 0.01716493%
需  12 0.01716493%
透  12 0.01716493%
陪  12 0.01716493%
务  12 0.01716493%
皮  12 0.01716493%
岂  12 0.01716493%
楚  12 0.01716493%
财  12 0.01716493%
国  12 0.01716493%
茶  12 0.01716493%
悟  12 0.01716493%
商  12 0.01716493%
设  12 0.01716493%
漕  12 0.01716493%
归  11 0.01573452%
遇  11 0.01573452%
貌  11 0.01573452%
莫  11 0.01573452%
系  11 0.01573452%
除  11 0.01573452%
星  11 0.01573452%
岁  11 0.01573452%
奋  11 0.01573452%
装  11 0.01573452%
简  11 0.01573452%
担  11 0.01573452%
板  11 0.01573452%
左  11 0.01573452%
洞  11 0.01573452%
猛  11 0.01573452%
惜  11 0.01573452%
登  11 0.01573452%
冷  11 0.01573452%
睛  11 0.01573452%
凉  11 0.01573452%
缩  11 0.01573452%
必  11 0.01573452%
摆  11 0.01573452%
诉  11 0.01573452%
昨  11 0.01573452%
叔  11 0.01573452%
军  11 0.01573452%
脖  11 0.01573452%
铸  11 0.01573452%
隋  11 0.01573452%
岔  11 0.01573452%
穴  11 0.01573452%
展  10 0.01430411%
技  10 0.01430411%
游  10 0.01430411%
庭  10 0.01430411%
厚  10 0.01430411%
悉  10 0.01430411%
亮  10 0.01430411%
录  10 0.01430411%
吟  10 0.01430411%
选  10 0.01430411%
段  10 0.01430411%
式  10 0.01430411%
良  10 0.01430411%
黄  10 0.01430411%
男  10 0.01430411%
画  10 0.01430411%
匹  10 0.01430411%
跳  10 0.01430411%
搜  10 0.01430411%
祖  10 0.01430411%
剩  10 0.01430411%
腰  10 0.01430411%
拥  10 0.01430411%
演  10 0.01430411%
念  10 0.01430411%
混  10 0.01430411%
忍  10 0.01430411%
股  10 0.01430411%
害  10 0.01430411%
答  10 0.01430411%
丽  10 0.01430411%
凡  10 0.01430411%
办  10 0.01430411%
罢  10 0.01430411%
阁  10 0.01430411%
您  10 0.01430411%
街  10 0.01430411%
砸  10 0.01430411%
盐  10 0.01430411%
座  10 0.01430411%
糊  10 0.01430411%
午  10 0.01430411%
巡  10 0.01430411%
检  10 0.01430411%
躲  10 0.01430411%
扮  10 0.01430411%
馆  10 0.01430411%
竹  10 0.01430411%
仔  10 0.01430411%
存  9 0.01287369%
闲  9 0.01287369%
曾  9 0.01287369%
聚  9 0.01287369%
彷  9 0.01287369%
狠  9 0.01287369%
『  9 0.01287369%
闻  9 0.01287369%
严  9 0.01287369%
咦  9 0.01287369%
丫  9 0.01287369%
叹  9 0.01287369%
躯  9 0.01287369%
忧  9 0.01287369%
孤  9 0.01287369%
骑  9 0.01287369%
燕  9 0.01287369%
吩  9 0.01287369%
咐  9 0.01287369%
移  9 0.01287369%
忖  9 0.01287369%
侧  9 0.01287369%
助  9 0.01287369%
考  9 0.01287369%
惧  9 0.01287369%
吓  9 0.01287369%
扭  9 0.01287369%
尽  9 0.01287369%
采  9 0.01287369%
布  9 0.01287369%
义  9 0.01287369%
歇  9 0.01287369%
察  9 0.01287369%
弦  9 0.01287369%
辛  9 0.01287369%
晌  9 0.01287369%
送  9 0.01287369%
恰  9 0.01287369%
病  9 0.01287369%
阴  9 0.01287369%
阿  9 0.01287369%
脆  9 0.01287369%
据  9 0.01287369%
借  9 0.01287369%
溜  9 0.01287369%
赚  9 0.01287369%
泊  9 0.01287369%
预  9 0.01287369%
赢  9 0.01287369%
坚  9 0.01287369%
营  9 0.01287369%
控  9 0.01287369%
土  9 0.01287369%
湘  9 0.01287369%
赶  9 0.01287369%
骰  9 0.01287369%
棠  9 0.01287369%
佟  9 0.01287369%
冥  8 0.01144328%
朗  8 0.01144328%
哩  8 0.01144328%
缠  8 0.01144328%
妇  8 0.01144328%
横  8 0.01144328%
希  8 0.01144328%
挑  8 0.01144328%
府  8 0.01144328%
母  8 0.01144328%
袋  8 0.01144328%
寥  8 0.01144328%
抬  8 0.01144328%
共  8 0.01144328%
激  8 0.01144328%
右  8 0.01144328%
械  8 0.01144328%
案  8 0.01144328%
捕  8 0.01144328%
丹  8 0.01144328%
伍  8 0.01144328%
爱  8 0.01144328%
属  8 0.01144328%
宅  8 0.01144328%
业  8 0.01144328%
羞  8 0.01144328%
佩  8 0.01144328%
蒙  8 0.01144328%
震  8 0.01144328%
圈  8 0.01144328%
态  8 0.01144328%
复  8 0.01144328%
捏  8 0.01144328%
娇  8 0.01144328%
险  8 0.01144328%
逼  8 0.01144328%
恨  8 0.01144328%
尚  8 0.01144328%
牛  8 0.01144328%
证  8 0.01144328%
写  8 0.01144328%
终  8 0.01144328%
香  8 0.01144328%
潭  8 0.01144328%
材  8 0.01144328%
维  8 0.01144328%
奈  8 0.01144328%
毛  8 0.01144328%
侠  8 0.01144328%
判  8 0.01144328%
颈  8 0.01144328%
栈  8 0.01144328%
慢  8 0.01144328%
免  8 0.01144328%
卧  8 0.01144328%
价  8 0.01144328%
货  8 0.01144328%
倭  8 0.01144328%
输  8 0.01144328%
监  8 0.01144328%
枪  8 0.01144328%
古  8 0.01144328%
滑  8 0.01144328%
怔  8 0.01144328%
｜  8 0.01144328%
桌  8 0.01144328%
防  8 0.01144328%
爬  8 0.01144328%
整  8 0.01144328%
仗  8 0.01144328%
脚  8 0.01144328%
谡  8 0.01144328%
坡  8 0.01144328%
幽  7 0.01001287%
慨  7 0.01001287%
躺  7 0.01001287%
迹  7 0.01001287%
庄  7 0.01001287%
谜  7 0.01001287%
巴  7 0.01001287%
产  7 0.01001287%
规  7 0.01001287%
河  7 0.01001287%
浑  7 0.01001287%
拋  7 0.01001287%
夺  7 0.01001287%
痛  7 0.01001287%
扑  7 0.01001287%
惯  7 0.01001287%
朵  7 0.01001287%
遗  7 0.01001287%
