，  4108 5.99157%
的  1794 2.616572%
  1782 2.599069%

  1782 2.599069%
了  1187 1.731254%
一  1128 1.645202%
我  1000 1.458513%
是  986 1.438093%
不  928 1.3535%
。  856 1.248487%
“  692 1.009291%
”  688 1.003457%
来  585 0.8532299%
人  473 0.6898764%
有  457 0.6665403%
在  434 0.6329945%
这  417 0.6081998%
大  389 0.5673614%
道  387 0.5644444%
个  356 0.5192305%
上  351 0.5119379%
就  348 0.5075624%
子  343 0.5002698%
他  338 0.4929773%
可  336 0.4900602%
然  316 0.46089%
心  313 0.4565144%
她  307 0.4477634%
到  293 0.4273442%
？  291 0.4244272%
下  291 0.4244272%
你  280 0.4083835%
那  277 0.404008%
出  269 0.3923399%
！  259 0.3777548%
：  258 0.3762963%
得  252 0.3675452%
么  250 0.3646282%
地  249 0.3631696%
也  246 0.3587941%
自  225 0.3281653%
说  225 0.3281653%
没  222 0.3237898%
起  209 0.3048291%
时  207 0.3019121%
中  205 0.2989951%
好  199 0.290244%
里  198 0.2887855%
只  196 0.2858685%
…  196 0.2858685%
过  193 0.2814929%
解  191 0.2785759%
头  190 0.2771174%
着  189 0.2756589%
想  186 0.2712834%
身  184 0.2683663%
要  184 0.2683663%
都  180 0.2625323%
老  177 0.2581567%
无  177 0.2581567%
儿  175 0.2552397%
去  173 0.2523227%
还  171 0.2494057%
而  170 0.2479471%
和  169 0.2464886%
之  167 0.2435716%
已  165 0.2406546%
知  162 0.236279%
手  162 0.236279%
们  158 0.230445%
雨  158 0.230445%
对  154 0.2246109%
眼  154 0.2246109%
看  150 0.2187769%
为  148 0.2158599%
会  146 0.2129428%
天  142 0.2071088%
事  141 0.2056503%
经  140 0.2041918%
意  136 0.1983577%
几  134 0.1954407%
柔  134 0.1954407%
把  129 0.1881481%
魏  129 0.1881481%
却  128 0.1866896%
小  128 0.1866896%
两  128 0.1866896%
能  128 0.1866896%
声  126 0.1837726%
又  125 0.1823141%
话  124 0.1808556%
才  123 0.179397%
后  122 0.1779385%
多  122 0.1779385%
让  121 0.17648%
家  119 0.173563%
什  118 0.1721045%
白  118 0.1721045%
十  118 0.1721045%
笑  113 0.1648119%
素  113 0.1648119%
面  110 0.1604364%
宗  110 0.1604364%
设  110 0.1604364%
真  109 0.1589779%
江  108 0.1575194%
车  108 0.1575194%
听  105 0.1531438%
动  105 0.1531438%
点  104 0.1516853%
以  104 0.1516853%
己  103 0.1502268%
见  102 0.1487683%
竟  102 0.1487683%
当  102 0.1487683%
相  101 0.1473098%
如  100 0.1458513%
被  100 0.1458513%
生  98 0.1429342%
湖  98 0.1429342%
三  98 0.1429342%
从  98 0.1429342%
宋  97 0.1414757%
马  97 0.1414757%
风  95 0.1385587%
开  95 0.1385587%
便  93 0.1356417%
正  93 0.1356417%
胡  93 0.1356417%
前  91 0.1327246%
用  91 0.1327246%
虽  90 0.1312661%
情  90 0.1312661%
卿  90 0.1312661%
船  89 0.1298076%
再  88 0.1283491%
力  88 0.1283491%
少  87 0.1268906%
唐  86 0.1254321%
打  86 0.1254321%
难  86 0.1254321%
师  86 0.1254321%
飞  86 0.1254321%
倭  83 0.1210565%
回  83 0.1210565%
姐  83 0.1210565%
此  83 0.1210565%
成  81 0.1181395%
著  79 0.1152225%
光  78 0.113764%
二  78 0.113764%
门  76 0.110847%
山  76 0.110847%
间  76 0.110847%
脸  75 0.1093884%
快  75 0.1093884%
、  74 0.1079299%
算  74 0.1079299%
齐  74 0.1079299%
方  74 0.1079299%
海  74 0.1079299%
给  73 0.1064714%
气  73 0.1064714%
些  72 0.1050129%
发  71 0.1035544%
关  70 0.1020959%
明  70 0.1020959%
吧  69 0.1006374%
