，  3783 5.486743%
的  1936 2.807913%
  1804 2.616465%

  1804 2.616465%
了  1185 1.718687%
我  1165 1.689679%
是  1035 1.501131%
一  980 1.421361%
不  879 1.274874%
。  864 1.253118%
“  717 1.039914%
”  716 1.038464%
来  532 0.771596%
人  518 0.7512908%
道  464 0.672971%
大  462 0.6700702%
在  456 0.661368%
有  452 0.6555665%
他  428 0.6207577%
这  409 0.5932007%
就  362 0.5250334%
可  351 0.5090793%
！  331 0.4800719%
着  318 0.4612171%
上  313 0.4539653%
子  313 0.4539653%
也  297 0.4307594%
你  295 0.4278587%
个  292 0.4235076%
心  286 0.4148054%
她  279 0.4046528%
：  276 0.4003017%
唐  259 0.3756454%
下  254 0.3683936%
说  251 0.3640425%
到  248 0.3596914%
经  248 0.3596914%
家  246 0.3567906%
然  245 0.3553402%
都  245 0.3553402%
地  241 0.3495388%
那  237 0.3437373%
出  237 0.3437373%
？  234 0.3393862%
里  223 0.3234321%
么  222 0.3219818%
中  221 0.3205314%
沉  221 0.3205314%
只  216 0.3132796%
而  210 0.3045774%
没  207 0.3002263%
和  207 0.3002263%
起  203 0.2944248%
过  194 0.2813715%
之  189 0.2741196%
…  184 0.2668678%
天  179 0.2596159%
两  179 0.2596159%
想  176 0.2552648%
要  175 0.2538145%
已  172 0.2494634%
去  169 0.2451123%
却  164 0.2378604%
得  164 0.2378604%
宝  164 0.2378604%
解  163 0.2364101%
时  162 0.2349597%
自  162 0.2349597%
三  162 0.2349597%
知  160 0.2320589%
把  159 0.2306086%
好  157 0.2277078%
笑  157 0.2277078%
还  153 0.2219064%
为  153 0.2219064%
江  152 0.220456%
娘  151 0.2190056%
们  150 0.2175553%
情  150 0.2175553%
头  149 0.2161049%
五  149 0.2161049%
能  147 0.2132042%
多  145 0.2103034%
小  144 0.2088531%
、  142 0.2059523%
眼  138 0.2001508%
看  137 0.1987005%
手  137 0.1987005%
身  135 0.1957997%
意  134 0.1943494%
后  132 0.1914486%
事  131 0.1899983%
纔  129 0.1870975%
让  128 0.1856472%
又  127 0.1841968%
对  127 0.1841968%
门  126 0.1827464%
儿  124 0.1798457%
声  121 0.1754946%
会  120 0.1740442%
素  119 0.1725938%
雨  116 0.1682427%
如  113 0.1638916%
见  112 0.1624413%
别  110 0.1595405%
动  106 0.1537391%
几  106 0.1537391%
少  106 0.1537391%
军  105 0.1522887%
些  104 0.1508383%
老  104 0.1508383%
女  100 0.1450368%
妳  100 0.1450368%
无  99 0.1435865%
生  98 0.1421361%
以  98 0.1421361%
开  98 0.1421361%
听  97 0.1406857%
十  97 0.1406857%
己  96 0.1392354%
正  96 0.1392354%
前  96 0.1392354%
呢  94 0.1363346%
设  94 0.1363346%
便  93 0.1348843%
州  92 0.1334339%
竟  92 0.1334339%
什  92 0.1334339%
亭  92 0.1334339%
行  91 0.1319835%
话  91 0.1319835%
再  90 0.1305332%
六  89 0.1290828%
被  88 0.1276324%
真  88 0.1276324%
二  88 0.1276324%
发  87 0.126182%
宗  87 0.126182%
楼  86 0.1247317%
此  86 0.1247317%
从  85 0.1232813%
面  84 0.1218309%
当  84 0.1218309%
海  84 0.1218309%
虽  83 0.1203806%
成  83 0.1203806%
间  83 0.1203806%
给  82 0.1189302%
点  82 0.1189302%
松  82 0.1189302%
南  81 0.1174798%
打  81 0.1174798%
何  80 0.1160295%
进  78 0.1131287%
似  78 0.1131287%
年  77 0.1116784%
白  77 0.1116784%
脸  77 0.1116784%
算  76 0.110228%
相  75 0.1087776%
所  74 0.1073273%
力  73 0.1058769%
吧  73 0.1058769%
与  72 0.1044265%
其  72 0.1044265%
希  72 0.1044265%
宋  71 0.1029762%
明  71 0.1029762%
兵  71 0.1029762%
该  70 0.1015258%
倒  70 0.1015258%
苏  68 0.09862505%
回  68 0.09862505%
边  68 0.09862505%
武  68 0.09862505%
吗  67 0.09717468%
做  67 0.09717468%
住  67 0.09717468%
光  67 0.09717468%
外  67 0.09717468%
殷  67 0.09717468%
连  66 0.09572431%
爷  66 0.09572431%
百  66 0.09572431%
名  65 0.09427395%
用  65 0.09427395%
口  65 0.09427395%
山  65 0.09427395%
熠  64 0.09282358%
样  63 0.09137321%
弟  63 0.09137321%
处  63 0.09137321%
倭  63 0.09137321%
实  63 0.09137321%
师  63 0.09137321%
乎  63 0.09137321%
气  62 0.08992284%
易  62 0.08992284%
难  62 0.08992284%
沈  62 0.08992284%
四  62 0.08992284%
交  61 0.08847247%
问  61 0.08847247%
乐  61 0.08847247%
主  60 0.0870221%
仪  60 0.0870221%
哥  60 0.0870221%
容  59 0.08557174%
万  59 0.08557174%
刀  59 0.08557174%
放  58 0.08412137%
分  58 0.08412137%
卿  58 0.08412137%
若  58 0.08412137%
战  58 0.08412137%
候  57 0.082671%
七  57 0.082671%
现  57 0.082671%
干  57 0.082671%
思  57 0.082671%
更  57 0.082671%
怎  57 0.082671%
同  57 0.082671%
风  56 0.08122063%
等  56 0.08122063%
公  56 0.08122063%
秦  55 0.07977026%
快  55 0.07977026%
喜  55 0.07977026%
法  55 0.07977026%
将  55 0.07977026%
望  54 0.07831989%
方  54 0.07831989%
色  53 0.07686953%
因  53 0.07686953%
很  53 0.07686953%
煌  53 0.07686953%
官  52 0.07541916%
王  52 0.07541916%
向  52 0.07541916%
死  52 0.07541916%
许  51 0.07396879%
目  51 0.07396879%
顿  51 0.07396879%
并  51 0.07396879%
月  50 0.07251842%
怕  50 0.07251842%
马  50 0.07251842%
亲  50 0.07251842%
位  49 0.07106805%
于  49 0.07106805%
李  49 0.07106805%
接  48 0.06961768%
比  48 0.06961768%
走  48 0.06961768%
太  48 0.06961768%
姐  48 0.06961768%
夫  48 0.06961768%
本  47 0.06816731%
功  47 0.06816731%
最  47 0.06816731%
园  47 0.06816731%
轻  47 0.06816731%
花  46 0.06671695%
户  46 0.06671695%
高  46 0.06671695%
石  46 0.06671695%
丝  45 0.06526658%
日  45 0.06526658%
远  45 0.06526658%
场  45 0.06526658%
水  44 0.06381621%
重  43 0.06236584%
早  43 0.06236584%
像  43 0.06236584%
定  43 0.06236584%
半  43 0.06236584%
银  43 0.06236584%
理  43 0.06236584%
怀  43 0.06236584%
父  42 0.06091547%
直  42 0.06091547%
落  42 0.06091547%
越  42 0.06091547%
隐  41 0.0594651%
红  41 0.0594651%
村  41 0.0594651%
果  40 0.05801474%
至  40 0.05801474%
胡  40 0.05801474%
足  40 0.05801474%
带  40 0.05801474%
府  40 0.05801474%
则  39 0.05656437%
次  39 0.05656437%
入  39 0.05656437%
众  39 0.05656437%
黑  39 0.05656437%
感  38 0.055114%
离  38 0.055114%
找  38 0.055114%
；  38 0.055114%
种  38 0.055114%
原  38 0.055114%
卫  38 0.055114%
由  37 0.05366363%
留  37 0.05366363%
利  37 0.05366363%
派  37 0.05366363%
藏  37 0.05366363%
渐  37 0.05366363%
露  36 0.05221326%
随  36 0.05221326%
角  36 0.05221326%
觉  36 0.05221326%
陆  36 0.05221326%
立  36 0.05221326%
作  36 0.05221326%
祥  36 0.05221326%
指  36 0.05221326%
盛  36 0.05221326%
川  36 0.05221326%
机  35 0.0507629%
往  35 0.0507629%
加  35 0.0507629%
千  35 0.0507629%
消  35 0.0507629%
珠  35 0.0507629%
关  35 0.0507629%
转  35 0.0507629%
盟  35 0.0507629%
细  35 0.0507629%
部  35 0.0507629%
火  35 0.0507629%
酒  34 0.04931252%
息  34 0.04931252%
或  34 0.04931252%
断  34 0.04931252%
张  34 0.04931252%
暗  34 0.04931252%
曾  34 0.04931252%
辎  34 0.04931252%
奇  33 0.04786216%
系  33 0.04786216%
新  33 0.04786216%
满  33 0.04786216%
低  33 0.04786216%
它  33 0.04786216%
全  33 0.04786216%
营  33 0.04786216%
嘴  33 0.04786216%
茂  33 0.04786216%
言  32 0.04641179%
湖  32 0.04641179%
甚  32 0.04641179%
欢  32 0.04641179%
变  32 0.04641179%
近  32 0.04641179%
流  31 0.04496142%
刻  31 0.04496142%
禁  31 0.04496142%
兄  31 0.04496142%
寇  31 0.04496142%
教  30 0.04351105%
扬  30 0.04351105%
初  30 0.04351105%
乱  30 0.04351105%
屋  30 0.04351105%
音  30 0.04351105%
依  30 0.04351105%
绝  30 0.04351105%
疑  30 0.04351105%
奶  30 0.04351105%
药  30 0.04351105%
般  29 0.04206068%
神  29 0.04206068%
忙  29 0.04206068%
私  29 0.04206068%
钱  29 0.04206068%
极  29 0.04206068%
啊  29 0.04206068%
报  29 0.04206068%
烟  29 0.04206068%
院  29 0.04206068%
叫  28 0.04061031%
信  28 0.04061031%
先  28 0.04061031%
玉  28 0.04061031%
热  28 0.04061031%
客  28 0.04061031%
货  28 0.04061031%
西  28 0.04061031%
通  28 0.04061031%
反  28 0.04061031%
句  28 0.04061031%
龙  28 0.04061031%
活  27 0.03915995%
威  27 0.03915995%
传  27 0.03915995%
微  27 0.03915995%
合  27 0.03915995%
商  27 0.03915995%
清  27 0.03915995%
齐  27 0.03915995%
爱  27 0.03915995%
瑕  27 0.03915995%
惊  27 0.03915995%
慕  27 0.03915995%
密  27 0.03915995%
步  27 0.03915995%
练  27 0.03915995%
哪  26 0.03770958%
送  26 0.03770958%
姑  26 0.03770958%
常  26 0.03770958%
余  26 0.03770958%
引  26 0.03770958%
结  25 0.03625921%
告  25 0.03625921%
文  25 0.03625921%
必  25 0.03625921%
杭  25 0.03625921%
偷  25 0.03625921%
敢  25 0.03625921%
吃  25 0.03625921%
安  25 0.03625921%
长  25 0.03625921%
亮  25 0.03625921%
金  24 0.03480884%
颇  24 0.03480884%
怪  24 0.03480884%
东  24 0.03480884%
织  24 0.03480884%
完  24 0.03480884%
强  24 0.03480884%
备  24 0.03480884%
总  24 0.03480884%
紫  24 0.03480884%
突  24 0.03480884%
林  24 0.03480884%
第  23 0.03335847%
淡  23 0.03335847%
恐  23 0.03335847%
非  23 0.03335847%
世  23 0.03335847%
需  23 0.03335847%
应  23 0.03335847%
闪  23 0.03335847%
阵  23 0.03335847%
计  23 0.03335847%
持  23 0.03335847%
度  23 0.03335847%
准  23 0.03335847%
