，  4205 6.002598%
的  1835 2.619445%
  1800 2.569483%

  1800 2.569483%
一  1170 1.670164%
我  1115 1.591652%
了  1097 1.565957%
是  942 1.344696%
不  890 1.270467%
。  784 1.119153%
来  541 0.7722724%
人  521 0.7437226%
“  520 0.7422951%
”  493 0.7037529%
在  469 0.6694931%
上  420 0.5995461%
有  406 0.5795612%
大  402 0.5738512%
这  381 0.5438739%
子  332 0.4739269%
心  332 0.4739269%
她  326 0.465362%
就  324 0.4625069%
下  317 0.4525145%
道  310 0.4425221%
也  298 0.4253922%
可  296 0.4225372%
个  291 0.4153998%
那  282 0.4025524%
里  276 0.3939874%
然  275 0.3925599%
着  267 0.38114%
地  265 0.378285%
得  264 0.3768575%
到  264 0.3768575%
他  264 0.3768575%
起  243 0.3468802%
你  240 0.3425978%
只  237 0.3383153%
？  233 0.3326053%
中  232 0.3311778%
说  232 0.3311778%
！  222 0.3169029%
过  218 0.311193%
时  217 0.3097655%
之  213 0.3040555%
出  210 0.299773%
：  209 0.2983455%
没  207 0.2954906%
而  203 0.2897806%
无  202 0.2883531%
么  202 0.2883531%
头  199 0.2840706%
却  197 0.2812156%
白  196 0.2797882%
去  194 0.2769332%
已  190 0.2712232%
两  188 0.2683682%
自  186 0.2655132%
都  184 0.2626583%
想  183 0.2612308%
几  182 0.2598033%
眼  171 0.2441009%
儿  170 0.2426734%
看  165 0.2355359%
手  164 0.2341085%
知  164 0.2341085%
女  162 0.2312535%
家  161 0.229826%
和  160 0.2283985%
身  160 0.2283985%
好  156 0.2226885%
声  153 0.2184061%
相  153 0.2184061%
宝  150 0.2141236%
要  147 0.2098411%
天  147 0.2098411%
江  147 0.2098411%
见  147 0.2098411%
对  146 0.2084136%
解  145 0.2069861%
小  141 0.2012762%
还  140 0.1998487%
后  139 0.1984212%
意  139 0.1984212%
才  139 0.1984212%
笑  137 0.1955662%
会  137 0.1955662%
老  136 0.1941387%
把  135 0.1927112%
为  134 0.1912837%
事  133 0.1898562%
又  129 0.1841463%
经  129 0.1841463%
生  127 0.1812913%
竟  127 0.1812913%
如  125 0.1784363%
…  124 0.1770088%
们  122 0.1741538%
光  116 0.1655889%
公  115 0.1641614%
湖  114 0.1627339%
动  113 0.1613064%
多  112 0.159879%
情  111 0.1584515%
从  110 0.157024%
能  110 0.157024%
雨  109 0.1555965%
宗  108 0.154169%
、  108 0.154169%
被  106 0.151314%
让  106 0.151314%
与  106 0.151314%
开  106 0.151314%
听  106 0.151314%
魏  105 0.1498865%
发  104 0.148459%
鲁  104 0.148459%
十  103 0.1470315%
柔  102 0.145604%
前  100 0.1427491%
当  100 0.1427491%
回  98 0.1398941%
点  98 0.1398941%
师  98 0.1398941%
门  98 0.1398941%
便  97 0.1384666%
面  96 0.1370391%
此  96 0.1370391%
进  95 0.1356116%
以  95 0.1356116%
卫  91 0.1299016%
正  90 0.1284742%
方  90 0.1284742%
什  90 0.1284742%
话  88 0.1256192%
再  88 0.1256192%
己  88 0.1256192%
隐  88 0.1256192%
三  87 0.1241917%
虽  87 0.1241917%
同  85 0.1213367%
何  84 0.1199092%
成  84 0.1199092%
容  84 0.1199092%
倭  83 0.1184817%
明  81 0.1156267%
真  81 0.1156267%
亭  80 0.1141993%
月  78 0.1113443%
住  78 0.1113443%
向  77 0.1099168%
关  77 0.1099168%
少  76 0.1084893%
接  76 0.1084893%
给  75 0.1070618%
其  75 0.1070618%
行  74 0.1056343%
乎  74 0.1056343%
功  74 0.1056343%
现  74 0.1056343%
算  73 0.1042068%
样  73 0.1042068%
力  73 0.1042068%
姐  73 0.1042068%
处  72 0.1027793%
战  72 0.1027793%
所  72 0.1027793%
澜  72 0.1027793%
素  71 0.1013518%
连  71 0.1013518%
山  70 0.09992434%
倒  69 0.09849685%
些  69 0.09849685%
边  69 0.09849685%
用  69 0.09849685%
分  69 0.09849685%
打  69 0.09849685%
娘  69 0.09849685%
间  68 0.09706936%
轻  68 0.09706936%
将  68 0.09706936%
等  68 0.09706936%
设  67 0.09564187%
皇  67 0.09564187%
卿  66 0.09421438%
气  66 0.09421438%
宁  64 0.0913594%
细  63 0.08993191%
别  63 0.08993191%
法  62 0.08850442%
沈  62 0.08850442%
瑕  62 0.08850442%
名  61 0.08707692%
快  59 0.08422194%
候  59 0.08422194%
实  59 0.08422194%
问  59 0.08422194%
目  58 0.08279446%
觉  58 0.08279446%
口  58 0.08279446%
六  57 0.08136696%
最  56 0.07993948%
神  56 0.07993948%
似  56 0.07993948%
花  56 0.07993948%
脸  56 0.07993948%
刻  55 0.07851198%
妹  55 0.07851198%
水  54 0.0770845%
半  54 0.0770845%
言  54 0.0770845%
本  54 0.0770845%
易  54 0.0770845%
