，  3342 4.836889%
的  2038 2.949605%
  2026 2.932237%

  2026 2.932237%
了  1197 1.732422%
我  1127 1.631111%
是  1081 1.564535%
一  1070 1.548615%
不  820 1.186789%
。  785 1.136133%
“  717 1.037717%
”  697 1.008771%
人  692 1.001534%
来  483 0.6990477%
！  475 0.6874692%
有  459 0.6643124%
道  451 0.652734%
在  439 0.6353663%
大  426 0.6165513%
子  411 0.5948418%
那  397 0.5745795%
上  386 0.5586592%
这  384 0.5557646%
他  368 0.5326077%
个  347 0.5022144%
：  313 0.4530061%
你  313 0.4530061%
也  312 0.4515587%
她  303 0.438533%
心  298 0.4312965%
里  295 0.4269546%
就  294 0.4255073%
？  278 0.4023504%
说  272 0.3936666%
江  271 0.3922193%
出  268 0.3878774%
然  261 0.3777463%
下  244 0.3531421%
地  243 0.3516948%
无  238 0.3444583%
中  235 0.3401164%
可  234 0.3386691%
么  228 0.3299852%
得  227 0.3285379%
到  222 0.3213014%
都  217 0.3140649%
过  216 0.3126176%
只  212 0.3068284%
和  209 0.3024865%
身  207 0.2995919%
笑  196 0.2836715%
看  196 0.2836715%
声  195 0.2822242%
手  194 0.2807769%
湖  190 0.2749877%
…  185 0.2677512%
着  183 0.2648566%
去  181 0.261962%
好  180 0.2605146%
而  180 0.2605146%
之  175 0.2532781%
还  173 0.2503835%
小  171 0.2474889%
头  170 0.2460416%
起  169 0.2445943%
自  167 0.2416997%
眼  165 0.2388051%
瑕  165 0.2388051%
没  163 0.2359105%
已  162 0.2344632%
、  160 0.2315686%
天  154 0.2228848%
两  154 0.2228848%
真  154 0.2228848%
家  153 0.2214375%
时  152 0.2199902%
却  151 0.2185429%
齐  148 0.2142009%
著  148 0.2142009%
想  147 0.2127536%
要  146 0.2113063%
多  146 0.2113063%
让  142 0.2055171%
把  141 0.2040698%
二  140 0.2026225%
意  136 0.1968333%
呢  136 0.1968333%
经  132 0.1910441%
珑  131 0.1895968%
流  130 0.1881495%
话  130 0.1881495%
又  130 0.1881495%
如  129 0.1867022%
些  129 0.1867022%
盟  129 0.1867022%
玲  129 0.1867022%
娘  128 0.1852549%
知  126 0.1823603%
十  125 0.180913%
竟  124 0.1794657%
三  122 0.176571%
生  122 0.176571%
能  121 0.1751238%
面  121 0.1751238%
见  120 0.1736764%
姐  119 0.1722291%
对  118 0.1707818%
万  117 0.1693345%
脸  117 0.1693345%
便  117 0.1693345%
光  116 0.1678872%
女  115 0.1664399%
玉  115 0.1664399%
听  114 0.1649926%
事  113 0.1635453%
动  113 0.1635453%
为  112 0.162098%
少  112 0.162098%
几  110 0.1592034%
样  108 0.1563088%
当  108 0.1563088%
目  107 0.1548615%
老  106 0.1534142%
们  106 0.1534142%
门  103 0.1490723%
白  103 0.1490723%
会  103 0.1490723%
宝  103 0.1490723%
武  102 0.147625%
吧  101 0.1461777%
什  100 0.1447304%
才  99 0.1432831%
似  98 0.1418358%
情  97 0.1403885%
此  95 0.1374938%
剑  94 0.1360465%
公  94 0.1360465%
正  91 0.1317046%
呀  90 0.1302573%
从  89 0.12881%
名  89 0.12881%
给  89 0.12881%
楼  88 0.1273627%
连  88 0.1273627%
青  88 0.1273627%
回  88 0.1273627%
放  86 0.1244681%
苏  85 0.1230208%
高  85 0.1230208%
边  84 0.1215735%
开  84 0.1215735%
清  83 0.1201262%
己  83 0.1201262%
望  83 0.1201262%
前  83 0.1201262%
师  83 0.1201262%
间  82 0.1186789%
乎  81 0.1172316%
并  80 0.1157843%
衣  78 0.1128897%
吗  78 0.1128897%
思  77 0.1114424%
文  77 0.1114424%
气  76 0.1099951%
夫  75 0.1085478%
年  74 0.1071005%
力  74 0.1071005%
妹  74 0.1071005%
怎  73 0.1056532%
成  73 0.1056532%
孙  73 0.1056532%
难  72 0.1042059%
弟  72 0.1042059%
风  71 0.1027586%
住  70 0.1013113%
倒  70 0.1013113%
李  70 0.1013113%
明  69 0.09986395%
州  69 0.09986395%
儿  69 0.09986395%
虽  68 0.09841665%
别  68 0.09841665%
水  68 0.09841665%
后  67 0.09696934%
铁  66 0.09552205%
主  66 0.09552205%
色  66 0.09552205%
同  66 0.09552205%
许  66 0.09552205%
兄  66 0.09552205%
向  65 0.09407474%
转  65 0.09407474%
花  65 0.09407474%
发  64 0.09262744%
容  64 0.09262744%
爷  64 0.09262744%
派  64 0.09262744%
打  64 0.09262744%
亭  64 0.09262744%
般  62 0.08973283%
解  62 0.08973283%
像  62 0.08973283%
微  62 0.08973283%
达  62 0.08973283%
点  61 0.08828552%
问  60 0.08683822%
礼  60 0.08683822%
相  59 0.08539092%
实  59 0.08539092%
分  59 0.08539092%
船  59 0.08539092%
轻  58 0.08394361%
与  57 0.08249631%
更  57 0.08249631%
进  57 0.08249631%
哥  57 0.08249631%
被  56 0.081049%
众  56 0.081049%
所  56 0.081049%
口  56 0.081049%
後  56 0.081049%
平  55 0.07960171%
太  55 0.07960171%
以  55 0.07960171%
候  54 0.0781544%
日  54 0.0781544%
六  53 0.07670709%
淫  53 0.07670709%
外  52 0.07525979%
沈  51 0.07381248%
长  51 0.07381248%
方  51 0.07381248%
或  51 0.07381248%
月  51 0.07381248%
半  51 0.07381248%
死  50 0.07236519%
算  50 0.07236519%
带  50 0.07236519%
双  50 0.07236519%
快  50 0.07236519%
刻  50 0.07236519%
四  49 0.07091788%
等  49 0.07091788%
最  49 0.07091788%
贼  49 0.07091788%
关  48 0.06947058%
早  48 0.06947058%
做  48 0.06947058%
定  47 0.06802327%
重  47 0.06802327%
马  47 0.06802327%
显  47 0.06802327%
再  47 0.06802327%
该  47 0.06802327%
感  47 0.06802327%
萝  47 0.06802327%
