，  3856 5.701022%
的  1952 2.885994%
  1604 2.371483%

  1604 2.371483%
了  1102 1.629286%
一  1036 1.531706%
是  914 1.351331%
我  898 1.327676%
不  803 1.18722%
。  740 1.094076%
人  613 0.9063087%
“  529 0.7821163%
来  526 0.7776809%
在  519 0.7673315%
”  518 0.765853%
他  471 0.6963644%
有  466 0.688972%
大  404 0.5973062%
道  367 0.5426024%
就  341 0.5041619%
！  337 0.498248%
这  327 0.4834632%
沈  319 0.4716353%
子  313 0.4627645%
可  307 0.4538936%
上  306 0.4524151%
然  291 0.4302379%
家  285 0.421367%
个  285 0.421367%
出  283 0.41841%
到  280 0.4139746%
也  274 0.4051037%
那  274 0.4051037%
下  270 0.3991898%
而  266 0.3932759%
着  258 0.381448%
只  238 0.3518784%
中  235 0.347443%
？  234 0.3459645%
心  224 0.3311797%
声  223 0.3297012%
经  220 0.3252658%
自  220 0.3252658%
么  217 0.3208303%
身  213 0.3149164%
过  213 0.3149164%
你  211 0.3119594%
没  207 0.3060455%
地  206 0.304567%
和  204 0.3016101%
里  200 0.2956961%
她  200 0.2956961%
：  192 0.2838683%
后  189 0.2794329%
倭  188 0.2779544%
说  188 0.2779544%
得  187 0.2764759%
已  186 0.2749974%
手  186 0.2749974%
起  181 0.267605%
唐  181 0.267605%
时  181 0.267605%
要  174 0.2572556%
还  172 0.2542987%
之  172 0.2542987%
去  172 0.2542987%
两  170 0.2513417%
想  165 0.2439493%
都  162 0.2395139%
知  159 0.2350784%
江  159 0.2350784%
为  157 0.2321215%
…  156 0.230643%
几  155 0.2291645%
好  154 0.227686%
见  153 0.2262076%
马  152 0.2247291%
却  152 0.2247291%
会  149 0.2202936%
花  149 0.2202936%
前  148 0.2188151%
听  144 0.2129012%
刀  143 0.2114227%
能  141 0.2084658%
头  141 0.2084658%
把  140 0.2069873%
们  139 0.2055088%
意  138 0.2040303%
对  138 0.2040303%
寇  138 0.2040303%
三  136 0.2010734%
竟  132 0.1951595%
门  131 0.193681%
立  129 0.190724%
解  128 0.1892455%
才  128 0.1892455%
五  127 0.187767%
如  127 0.187767%
多  125 0.1848101%
老  125 0.1848101%
眼  124 0.1833316%
力  122 0.1803747%
无  122 0.1803747%
天  122 0.1803747%
己  122 0.1803747%
当  120 0.1774177%
让  118 0.1744607%
面  112 0.1655898%
呢  111 0.1641114%
生  110 0.1626329%
兵  109 0.1611544%
看  108 0.1596759%
十  107 0.1581974%
相  107 0.1581974%
战  106 0.156719%
被  106 0.156719%
小  106 0.156719%
事  106 0.156719%
又  105 0.1552405%
情  103 0.1522835%
何  103 0.1522835%
素  103 0.1522835%
此  103 0.1522835%
熠  101 0.1493265%
二  99 0.1463696%
宗  99 0.1463696%
真  99 0.1463696%
以  98 0.1448911%
设  97 0.1434126%
雨  95 0.1404557%
与  95 0.1404557%
同  94 0.1389772%
发  93 0.1374987%
正  93 0.1374987%
从  92 0.1360202%
百  92 0.1360202%
现  92 0.1360202%
、  91 0.1345417%
虽  91 0.1345417%
助  91 0.1345417%
些  90 0.1330633%
女  90 0.1330633%
少  90 0.1330633%
成  89 0.1315848%
什  88 0.1301063%
军  85 0.1256709%
动  85 0.1256709%
住  85 0.1256709%
间  84 0.1241924%
法  84 0.1241924%
快  83 0.1227139%
公  83 0.1227139%
开  83 0.1227139%
便  83 0.1227139%
飞  81 0.1197569%
死  80 0.1182785%
孙  79 0.1168%
实  78 0.1153215%
进  78 0.1153215%
敌  78 0.1153215%
儿  77 0.113843%
似  77 0.113843%
乎  77 0.113843%
名  77 0.113843%
话  77 0.113843%
用  76 0.1123645%
倒  75 0.1108861%
笑  74 0.1094076%
主  74 0.1094076%
样  74 0.1094076%
算  73 0.1079291%
口  73 0.1079291%
杀  72 0.1064506%
回  72 0.1064506%
湖  72 0.1064506%
所  71 0.1049721%
向  71 0.1049721%
并  71 0.1049721%
边  70 0.1034937%
将  70 0.1034937%
气  69 0.1020152%
更  69 0.1020152%
行  69 0.1020152%
方  68 0.1005367%
打  67 0.09905821%
宋  67 0.09905821%
松  67 0.09905821%
万  66 0.09757973%
光  65 0.09610125%
长  65 0.09610125%
吧  64 0.09462277%
妙  64 0.09462277%
明  63 0.09314428%
高  63 0.09314428%
给  63 0.09314428%
师  63 0.09314428%
再  62 0.0916658%
脸  62 0.0916658%
白  62 0.0916658%
勘  61 0.09018733%
藏  61 0.09018733%
林  61 0.09018733%
容  61 0.09018733%
于  61 0.09018733%
点  61 0.09018733%
该  60 0.08870884%
顿  60 0.08870884%
许  60 0.08870884%
目  60 0.08870884%
楼  60 0.08870884%
其  59 0.08723036%
邱  59 0.08723036%
怕  58 0.08575188%
连  57 0.0842734%
暗  57 0.0842734%
半  57 0.0842734%
四  56 0.08279492%
山  56 0.08279492%
弟  56 0.08279492%
毒  56 0.08279492%
院  55 0.08131644%
放  55 0.08131644%
等  55 0.08131644%
击  55 0.08131644%
本  55 0.08131644%
刻  54 0.07983796%
总  52 0.076881%
静  52 0.076881%
失  52 0.076881%
阵  52 0.076881%
辎  52 0.076881%
众  52 0.076881%
走  51 0.07540251%
惊  51 0.07540251%
王  51 0.07540251%
思  50 0.07392403%
望  50 0.07392403%
隐  50 0.07392403%
外  50 0.07392403%
枪  50 0.07392403%
宝  50 0.07392403%
难  49 0.07244556%
因  49 0.07244556%
汉  48 0.07096707%
武  48 0.07096707%
南  48 0.07096707%
落  47 0.06948859%
队  47 0.06948859%
卿  47 0.06948859%
别  47 0.06948859%
场  47 0.06948859%
怎  47 0.06948859%
内  47 0.06948859%
比  47 0.06948859%
盟  47 0.06948859%
风  46 0.06801011%
作  46 0.06801011%
父  46 0.06801011%
果  46 0.06801011%
离  46 0.06801011%
乱  45 0.06653163%
日  45 0.06653163%
最  45 0.06653163%
清  45 0.06653163%
神  45 0.06653163%
帮  45 0.06653163%
娘  45 0.06653163%
柔  45 0.06653163%
般  44 0.06505315%
很  44 0.06505315%
屋  44 0.06505315%
变  44 0.06505315%
早  44 0.06505315%
处  44 0.06505315%
灵  44 0.06505315%
练  44 0.06505315%
关  44 0.06505315%
言  43 0.06357467%
吃  43 0.06357467%
兄  43 0.06357467%
六  43 0.06357467%
鸿  43 0.06357467%
石  42 0.06209619%
步  42 0.06209619%
命  42 0.06209619%
利  42 0.06209619%
易  42 0.06209619%
功  42 0.06209619%
卫  42 0.06209619%
疑  41 0.06061771%
接  41 0.06061771%
轻  41 0.06061771%
丝  41 0.06061771%
留  41 0.06061771%
魏  41 0.06061771%
语  40 0.05913923%
先  40 0.05913923%
则  40 0.05913923%
齐  40 0.05913923%
直  40 0.05913923%
做  40 0.05913923%
府  40 0.05913923%
转  39 0.05766075%
吗  39 0.05766075%
派  39 0.05766075%
满  39 0.05766075%
慕  39 0.05766075%
势  38 0.05618227%
加  38 0.05618227%
啊  38 0.05618227%
全  38 0.05618227%
路  37 0.05470379%
问  37 0.05470379%
形  37 0.05470379%
箭  37 0.05470379%
官  37 0.05470379%
候  37 0.05470379%
或  37 0.05470379%
报  37 0.05470379%
像  36 0.0532253%
息  36 0.0532253%
流  36 0.0532253%
分  36 0.0532253%
若  36 0.0532253%
龙  36 0.0532253%
重  36 0.0532253%
爷  36 0.0532253%
亭  36 0.0532253%
黑  35 0.05174683%
村  35 0.05174683%
近  35 0.05174683%
空  35 0.05174683%
远  35 0.05174683%
七  35 0.05174683%
反  35 0.05174683%
理  35 0.05174683%
沉  35 0.05174683%
传  34 0.05026834%
交  34 0.05026834%
李  34 0.05026834%
太  34 0.05026834%
朝  33 0.04878986%
乐  33 0.04878986%
由  33 0.04878986%
伤  33 0.04878986%
至  33 0.04878986%
合  33 0.04878986%
；  33 0.04878986%
机  33 0.04878986%
退  33 0.04878986%
权  33 0.04878986%
次  33 0.04878986%
哪  32 0.04731138%
断  32 0.04731138%
应  32 0.04731138%
影  32 0.04731138%
